"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"c161735732d10ef81323d9b5812491897d2eb5ab","337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"a820f46079cee471a98a4d886b3e769808e0036c","  8416","Neobatrachia","suborder","1.0000","Metazoa","Chordata","Amphibia","Anura","","",""
"2aabdc69f5f7834996039f4029fa03ecfe70ffc0"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"7cbe946625f416ad59615f0ddca7884268f33de2","  9126","Passeriformes","order","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"e71ba8ec3d3fe9382a8b6d1e9a35e4465f22c098"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"79e4ee40c544f9531b4602d01697a27e90014fe3"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"f5f3173c8551c0433c110b48e9dad06a9860cbc0","  9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"63a7d0273f9bdd41fc062c411d5c529730a67ff1","337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"25e8531396b00cb9cdd8c87db81331ec1a0ee28e","123368","Acanthomorphata","clade","0.9997","Metazoa","Chordata","Actinopteri","","","",""
"ee10a57b8e892ee72bf167c0efd0a15ec40cd488"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"4c562c7a275414a00788a05c97abe672981ffcea"," 39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"416ea948ebbfdfe67b5998210015fa44c2b8c105"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"265776f15171642f35895b4fc099d81fc7a1b277"," 33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be","  9653","Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"f385fd2acd9cf2ad3ba899851c886d76696c542e","189919","Pseudacris","genus","1.0000","Metazoa","Chordata","Amphibia","Anura","Hylidae","Pseudacris",""
"e00f2342b0dd1c5b59eb00f99422d63207d71435"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"3cec196f7e15117b3a489c4d21bd48035c8c4506","  8830","Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"e8f115b4188f7c5cc0d74bd3c013dc9c4f4c036c"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"681a28fcd72ed8a994ff652cb4d90dbaad46639d"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
