Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0600,Ac16S,73815,64830,64572,64765,62943,62943,47218
NGN0601,Ac16S,71729,62658,62612,62655,60638,60638,56426
NGN0602,Ac16S,87649,76966,76889,76886,73149,73149,73113
NGN0603,Ac16S,84690,74137,74118,74135,71834,71834,69154
NGN0604,Ac16S,68067,59421,59416,59300,57428,57428,53828
NGN0605,Ac16S,66974,58976,58930,58975,57260,57260,57216
NGN0606,Ac16S,85306,70263,70188,70150,69499,69499,63304
NGN0607,Ac16S,76947,67182,67056,67145,64814,64814,45870
NGN0608,Ac16S,63876,55030,54825,54971,54001,54001,42541
NGN0610,Ac16S,71114,63315,63273,63280,60282,60282,52816
NGN0611,Ac16S,70141,61408,61274,61308,59372,59372,43931
NGN0612,Ac16S,66740,53729,53687,53707,52209,52209,43192
NGN0613,Ac16S,60324,45037,44961,45015,43771,43771,35101
NGN0614,Ac16S,6617,5539,5499,5528,5409,5409,4742
NGN0615,Ac16S,70122,59890,59817,59872,57412,57412,47388
NGN0616,Ac16S,55841,47882,47823,47790,47202,47202,40534
NGN0617,Ac16S,67984,60786,60760,60783,60758,60758,60058
