Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1,MiFish,125755,123714,123684,123712,123401,123401,123198
2,MiFish,114558,112424,112384,112397,112341,112341,111051
3,MiFish,103822,102346,102338,102333,102228,102228,101786
4,MiFish,119737,117544,117517,117432,116992,116992,116447
5,MiFish,126936,125287,125185,125266,124785,124785,124256
6,MiFish,145802,143733,143706,143648,143029,143029,141755
7,MiFish,118367,116355,116341,116277,115993,115993,110059
8,MiFish,127315,125342,125338,125313,125236,125236,118097
9,MiFish,123601,121231,121208,121182,120896,120896,118019
10,MiFish,124829,122553,122492,122548,122358,122358,121309
11,MiFish,124079,121912,121884,121857,121557,121557,120008
12,MiFish,97992,96316,96293,96256,96158,96158,93544
13,MiFish,129781,127465,127458,127462,127400,127400,127400
14,MiFish,119317,117091,117069,117084,115391,115391,115391
15,MiFish,118212,116071,116030,116050,114782,114782,114777
16,MiFish,167674,164343,164236,164330,162253,162253,162192
17,MiFish,157733,154663,154557,154588,153473,153473,152699
18,MiFish,131903,128688,128381,128084,126049,126049,122210
