Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
Ac16S-PadUp11-5-0321,Ac16S,208652,189088,188447,189071,183669,183669,164541
Ac16S-PadUp11-6-0321,Ac16S,195364,174653,174457,174457,170855,170855,125590
Ac16S-PadUp5-4-0321,Ac16S,185885,166554,166315,166213,162132,162132,134448
Ac16S-PadUp5-5-0321,Ac16S,163360,146725,146517,146349,142306,142306,123236
Ac16S-PadUp5-6-0321,Ac16S,191696,175063,175030,175052,173514,173514,172440
Ac16S-PadUp11-1-0421,Ac16S,194398,176594,176440,176504,173521,173521,161683
Ac16S-PadUp11-2-0421,Ac16S,204606,183195,183050,182953,177332,177332,124372
Ac16S-PadUp11-3-0421,Ac16S,204381,181950,181484,181478,178109,178109,139428
Ac16S-PadUp5-1-0421,Ac16S,181868,159043,158859,158928,154340,154340,127096
Ac16S-PadUp5-2-0421,Ac16S,162174,142526,142423,142449,139633,139633,110565
Ac16S-PadUp5-3-0421,Ac16S,17939,15634,15554,15621,15221,15221,12995
Ac16S-ChkDn1-0321,Ac16S,196121,175721,175334,175456,170288,170288,131934
Ac16S-ChkDn2-0321,Ac16S,212516,192184,191839,192144,189447,189447,178290
Ac16S-ChkDn3-0321,Ac16S,228399,206059,205986,206016,204034,204034,203998
Ac16S-ChkUp1-0321,Ac16S,235483,212338,212108,211570,208471,208471,202929
Ac16S-ChkUp2-0321,Ac16S,186577,167562,167495,167551,165047,165047,156765
Ac16S-ChkUp3-0321,Ac16S,195842,177201,177198,177187,175421,175421,174765
