Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0559,COI,33134,18531,15171,15007,12360,12360,12263
NGN0560,COI,32991,18717,15292,15445,13316,13316,12984
NGN0561,COI,53669,30995,26674,26785,23796,23796,23600
NGN0562,COI,42925,24796,19723,21219,17119,17119,17092
NGN0563,COI,33081,18211,15430,15390,13659,13659,13441
NGN0564,COI,35457,21336,17860,18065,15827,15827,15525
NGN0565,COI,50251,28945,25038,25156,22137,22137,21437
NGN0566,COI,129860,81464,79217,78930,75717,75717,75363
NGN0567,COI,44615,28461,26014,25866,24256,24256,24143
NGN0568,COI,39517,23063,19079,18785,16367,16367,16134
NGN0569,COI,64698,38264,32985,33245,29028,29028,28621
NGN0570,COI,41166,25341,21134,21265,18632,18632,18364
NGN0571,COI,23250,13372,11573,11815,10884,10884,10837
NGN0572,COI,40268,24754,20869,20754,18099,18099,18061
NGN0573,COI,38874,23539,20077,19858,17454,17454,17415
NGN0574,COI,34560,20091,16560,16410,14069,14069,14064
NGN0575,COI,45153,27089,23442,23507,20586,20586,20567
NGN0576,COI,35409,20556,18953,18789,17389,17389,17381
NGN0577,COI,34111,19267,16086,15659,13746,13746,13715
NGN0578,COI,50253,26703,24191,24217,22149,22149,21130
NGN0579,COI,32826,18948,17128,17228,16114,16114,15673
NGN0580,COI,49654,28389,24502,24145,21746,21746,21371
NGN0581,COI,38561,21847,18154,18157,16079,16079,15944
NGN0582,COI,40998,25632,24335,24130,23456,23456,23195
NGN0583,COI,30109,19414,18112,18019,17443,17443,17292
NGN0584,COI,46645,29872,26385,26421,24329,24329,24308
NGN0585,COI,3,2,1,1,1,1,1
NGN0586,COI,37798,21793,21095,21078,20309,20309,18384
NGN0587,COI,30195,17291,16540,16593,15571,15571,15316
NGN0588,COI,44158,24209,20086,19883,17024,17024,16957
NGN0589,COI,58569,34411,30076,29559,26034,26034,26003
NGN0591,COI,44983,26683,23607,23238,20644,20644,20621
NGN0592,COI,16164,8912,6912,6656,5792,5792,5778
NGN0593,COI,43452,24044,21571,20998,19405,19405,19401
NGN0594,COI,50798,31482,26586,26443,23327,23327,23113
NGN0595,COI,29083,14118,11365,11084,9607,9607,9506
NGN0596,COI,50404,30627,28328,28229,26940,26940,26877
NGN0597,COI,38608,22652,20779,20736,19620,19620,19449
NGN0598,COI,39508,23451,21466,21505,20126,20126,19951
NGN0599,COI,49610,25494,25490,25489,25481,25481,25481
