Sample_name,Locus,file1,file2
RS-97,MiFish,Locus_MiFish_RS-97_S1_L001_R1_001.fastq,Locus_MiFish_RS-97_S1_L001_R2_001.fastq
RS-98,MiFish,Locus_MiFish_RS-98_S2_L001_R1_001.fastq,Locus_MiFish_RS-98_S2_L001_R2_001.fastq
RS-99,MiFish,Locus_MiFish_RS-99_S3_L001_R1_001.fastq,Locus_MiFish_RS-99_S3_L001_R2_001.fastq
RS-100,MiFish,Locus_MiFish_RS-100_S4_L001_R1_001.fastq,Locus_MiFish_RS-100_S4_L001_R2_001.fastq
RS-101,MiFish,Locus_MiFish_RS-101_S5_L001_R1_001.fastq,Locus_MiFish_RS-101_S5_L001_R2_001.fastq
RS-102,MiFish,Locus_MiFish_RS-102_S6_L001_R1_001.fastq,Locus_MiFish_RS-102_S6_L001_R2_001.fastq
RS-103,MiFish,Locus_MiFish_RS-103_S7_L001_R1_001.fastq,Locus_MiFish_RS-103_S7_L001_R2_001.fastq
RS-104,MiFish,Locus_MiFish_RS-104_S8_L001_R1_001.fastq,Locus_MiFish_RS-104_S8_L001_R2_001.fastq
RS-105,MiFish,Locus_MiFish_RS-105_S9_L001_R1_001.fastq,Locus_MiFish_RS-105_S9_L001_R2_001.fastq
RS-106,MiFish,Locus_MiFish_RS-106_S10_L001_R1_001.fastq,Locus_MiFish_RS-106_S10_L001_R2_001.fastq
RS-107,MiFish,Locus_MiFish_RS-107_S11_L001_R1_001.fastq,Locus_MiFish_RS-107_S11_L001_R2_001.fastq
RS-108,MiFish,Locus_MiFish_RS-108_S12_L001_R1_001.fastq,Locus_MiFish_RS-108_S12_L001_R2_001.fastq
RS-109,MiFish,Locus_MiFish_RS-109_S13_L001_R1_001.fastq,Locus_MiFish_RS-109_S13_L001_R2_001.fastq
RS-110,MiFish,Locus_MiFish_RS-110_S14_L001_R1_001.fastq,Locus_MiFish_RS-110_S14_L001_R2_001.fastq
RS-111,MiFish,Locus_MiFish_RS-111_S15_L001_R1_001.fastq,Locus_MiFish_RS-111_S15_L001_R2_001.fastq
RS-112,MiFish,Locus_MiFish_RS-112_S16_L001_R1_001.fastq,Locus_MiFish_RS-112_S16_L001_R2_001.fastq
RS-113,MiFish,Locus_MiFish_RS-113_S17_L001_R1_001.fastq,Locus_MiFish_RS-113_S17_L001_R2_001.fastq
RS-114,MiFish,Locus_MiFish_RS-114_S18_L001_R1_001.fastq,Locus_MiFish_RS-114_S18_L001_R2_001.fastq
RS-115,MiFish,Locus_MiFish_RS-115_S19_L001_R1_001.fastq,Locus_MiFish_RS-115_S19_L001_R2_001.fastq
RS-116,MiFish,Locus_MiFish_RS-116_S20_L001_R1_001.fastq,Locus_MiFish_RS-116_S20_L001_R2_001.fastq
RS-117,MiFish,Locus_MiFish_RS-117_S21_L001_R1_001.fastq,Locus_MiFish_RS-117_S21_L001_R2_001.fastq
RS-118,MiFish,Locus_MiFish_RS-118_S22_L001_R1_001.fastq,Locus_MiFish_RS-118_S22_L001_R2_001.fastq
RS-119,MiFish,Locus_MiFish_RS-119_S23_L001_R1_001.fastq,Locus_MiFish_RS-119_S23_L001_R2_001.fastq
RS-120,MiFish,Locus_MiFish_RS-120_S24_L001_R1_001.fastq,Locus_MiFish_RS-120_S24_L001_R2_001.fastq
