Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0528,MiFish,13114,6327,6298,6271,6248,6248,6248
NGN0529,MiFish,16591,7487,7449,7449,7269,7269,7269
NGN0530,MiFish,17177,5935,5901,5883,5882,5882,5882
NGN0531,MiFish,13169,7395,7388,7392,7290,7290,7290
NGN0532,MiFish,4871,2444,2436,2436,2410,2410,2410
NGN0533,MiFish,15890,8688,8688,8688,8665,8665,8665
NGN0534,MiFish,17327,8763,8756,8755,8729,8729,8729
NGN0535,MiFish,17086,8995,8936,8921,8890,8890,8890
NGN0536,MiFish,18183,9713,9709,9643,9593,9593,9593
NGN0537,MiFish,568,266,266,266,234,234,234
NGN0538,MiFish,16217,8433,8423,8423,8312,8312,7963
NGN0539,MiFish,18283,8962,8957,8956,8941,8941,8941
NGN0540,MiFish,796,457,455,446,446,446,446
NGN0541,MiFish,18736,9434,9334,9334,9174,9174,9174
NGN0542,MiFish,26273,9120,8932,8783,8129,8129,8129
NGN0543,MiFish,17071,8472,8394,8378,8166,8166,8166
NGN0544,MiFish,29462,15047,14985,14950,14750,14750,14750
NGN0545,MiFish,24033,13124,13123,13124,13090,13090,12094
NGN0546,MiFish,18083,9471,9432,9433,9426,9426,9426
NGN0547,MiFish,17288,8732,8641,8593,8587,8587,8587
NGN0548,MiFish,16110,7947,7833,7826,7659,7659,7345
NGN0549,MiFish,17391,9744,9743,9743,9666,9666,8932
NGN0550,MiFish,22120,11393,11378,11379,11210,11210,10438
NGN0551,MiFish,16486,8577,8551,8511,8457,8457,8457
NGN0552,MiFish,39590,14827,14729,14701,14028,14028,14028
NGN0553,MiFish,16851,8591,8546,8578,8533,8533,8533
NGN0554,MiFish,18505,8935,8924,8919,8906,8906,8906
NGN0555,MiFish,17265,8930,8926,8925,8917,8917,8917
NGN0557,MiFish,18171,8275,8275,8200,8091,8091,8091
NGN0558,MiFish,31648,17298,17297,17295,17295,17295,17295
