Sample_name,Locus,file1,file2
NGN0528,MiFish,Locus_MiFish_MiFish_0621_1Prt_Dn_1_S33_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_1Prt_Dn_1_S33_L001_R2_001.fastq.fastq
NGN0529,MiFish,Locus_MiFish_MiFish_0621_2Brn_Dn_1_S34_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_2Brn_Dn_1_S34_L001_R2_001.fastq.fastq
NGN0530,MiFish,Locus_MiFish_MiFish_0621_2Brn_Dn_2_S35_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_2Brn_Dn_2_S35_L001_R2_001.fastq.fastq
NGN0531,MiFish,Locus_MiFish_MiFish_0621_2Brn_Up_1_S36_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_2Brn_Up_1_S36_L001_R2_001.fastq.fastq
NGN0532,MiFish,Locus_MiFish_MiFish_0621_2Brn_Up_3_S37_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_2Brn_Up_3_S37_L001_R2_001.fastq.fastq
NGN0533,MiFish,Locus_MiFish_MiFish_0621_3Chk_Dn_1_S38_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_3Chk_Dn_1_S38_L001_R2_001.fastq.fastq
NGN0534,MiFish,Locus_MiFish_MiFish_0621_3Chk_Dn_2_S39_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_3Chk_Dn_2_S39_L001_R2_001.fastq.fastq
NGN0535,MiFish,Locus_MiFish_MiFish_0621_3Chk_Up_3_S40_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_3Chk_Up_3_S40_L001_R2_001.fastq.fastq
NGN0536,MiFish,Locus_MiFish_MiFish_0621_4Pad_Dn_1_S41_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Dn_1_S41_L001_R2_001.fastq.fastq
NGN0537,MiFish,Locus_MiFish_MiFish_0621_4Pad_Dn_2_S42_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Dn_2_S42_L001_R2_001.fastq.fastq
NGN0538,MiFish,Locus_MiFish_MiFish_0621_4Pad_Dn_3_S43_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Dn_3_S43_L001_R2_001.fastq.fastq
NGN0539,MiFish,Locus_MiFish_MiFish_0621_4Pad_Up5_1_S44_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Up5_1_S44_L001_R2_001.fastq.fastq
NGN0540,MiFish,Locus_MiFish_MiFish_0621_4Pad_Up5_2_S45_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Up5_2_S45_L001_R2_001.fastq.fastq
NGN0541,MiFish,Locus_MiFish_MiFish_0621_4Pad_Up5_3_S46_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_4Pad_Up5_3_S46_L001_R2_001.fastq.fastq
NGN0542,MiFish,Locus_MiFish_MiFish_0621_5Sqm_Dn_2_S47_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_5Sqm_Dn_2_S47_L001_R2_001.fastq.fastq
NGN0543,MiFish,Locus_MiFish_MiFish_0621_5Sqm_Up_1_S48_L001_R1_001.fastq.fastq,Locus_MiFish_MiFish_0621_5Sqm_Up_1_S48_L001_R2_001.fastq.fastq
