Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0302,MiFish,31987,18915,18756,18679,17764,17764,17520
NGN0303,MiFish,41509,26555,26163,26183,24713,24713,24576
NGN0304,MiFish,41761,27089,26912,26837,26470,26470,26374
NGN0305,MiFish,38919,25482,25166,25141,24207,24207,24165
NGN0306,MiFish,33737,20696,20555,20513,19958,19958,19899
NGN0307,MiFish,29948,18604,18447,18371,17979,17979,17934
NGN0308,MiFish,43730,28341,27993,28055,27158,27158,27074
NGN0309,MiFish,53460,35933,35769,35664,35394,35394,35256
NGN0310,MiFish,47531,30831,30659,30602,30181,30181,30173
NGN0311,MiFish,52130,37767,37590,37454,37015,37015,36888
NGN0312,MiFish,47310,34663,34323,34154,32844,32844,32399
NGN0313,MiFish,132546,94833,94307,93961,89278,89278,87304
NGN0314,MiFish,70997,49572,49221,49002,47056,47056,46467
NGN0315,MiFish,72593,49205,48810,48778,47094,47094,47077
NGN0316,MiFish,70403,44681,44462,44427,43834,43834,43688
NGN0317,MiFish,79140,54109,53674,53593,52578,52578,52505
NGN0318,MiFish,71580,49509,49262,49151,48446,48446,48248
NGN0319,MiFish,54975,36592,36288,36175,35560,35560,35440
NGN0320,MiFish,80656,53993,53667,53683,52335,52335,51967
NGN0321,MiFish,84718,56738,56243,56225,54741,54741,54570
NGN0322,MiFish,90273,61359,60904,61012,60130,60130,59779
NGN0323,MiFish,67118,44557,44361,44274,43579,43579,43212
NGN0324,MiFish,90452,64429,63783,63564,61249,61249,60085
NGN0325,MiFish,71072,51503,50955,50718,48570,48570,47220
NGN0326,MiFish,27254,19430,19033,19005,18415,18415,18402
NGN0327,MiFish,54436,39454,39141,39083,38640,38640,38639
NGN0328,MiFish,64582,48339,47943,47781,47240,47240,47240
NGN0329,MiFish,65018,49809,49369,49237,48443,48443,48443
NGN0330,MiFish,72661,45966,45672,45752,44472,44472,42656
NGN0331,MiFish,65195,45983,45412,45356,43255,43255,41600
NGN0332,MiFish,51028,35851,35350,35255,33621,33621,32866
NGN0333,MiFish,63715,40412,39949,39864,37715,37715,37155
NGN0334,MiFish,62087,39171,38629,38709,37105,37105,36916
NGN0335,MiFish,70970,53706,53432,53403,51568,51568,49509
NGN0336,MiFish,77280,56919,56583,56329,54479,54479,47906
NGN0337,MiFish,79840,58236,57786,57654,55813,55813,49924
NGN0338,MiFish,70956,52179,51863,51737,49555,49555,43106
NGN0339,MiFish,74809,51219,51147,51109,50037,50037,49933
