Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiMammal.0321.2Brn.Dn.3,MiMammal,33050,32518,32391,32435,31749,31749,31637
MiMammal.0321.4Pad.Dn.2,MiMammal,37315,36752,36605,36691,35941,35941,35567
MiMammal.0321.2Brn.Up.1,MiMammal,20170,19924,19902,19912,19352,19352,19352
MiMammal.0321.4Pad.Up11.2,MiMammal,33416,32813,32677,32749,31862,31862,31639
MiMammal.0321.5Sqm.Dn.2,MiMammal,34959,34515,34415,34470,33328,33328,33036
MiMammal.0321.5Sqm.Up.3,MiMammal,31249,30745,30445,30653,29956,29956,29529
MiMammal.0421.1Prt.Dn.1,MiMammal,30570,30119,30031,29982,29416,29416,29315
MiMammal.0421.1Prt.Dn.2,MiMammal,29993,29579,29550,29561,29255,29255,29123
MiMammal.0421.1Prt.Up.3,MiMammal,27645,27234,27140,27151,26854,26854,26806
MiMammal.0421.2Brn.Dn.1,MiMammal,32829,32314,32149,32204,31468,31468,31326
MiMammal.0421.2Brn.Up.1,MiMammal,28686,28198,28100,28140,27459,27459,27107
MiMammal.0421.3Chk.Dn.3,MiMammal,32434,31917,31779,31871,31278,31278,31270
MiMammal.0421.4Pad.Dn.1,MiMammal,33121,32721,32467,32675,32276,32276,31338
MiMammal.0421.4Pad.Dn.3,MiMammal,29956,29554,29504,29503,29067,29067,28769
MiMammal.0421.5Sqm.Dn.1,MiMammal,28956,28551,28527,28528,28010,28010,27841
MiMammal.0821.1Prt.Up.3,MiMammal,36023,35623,35548,35559,34789,34789,34558
MiMammal.0821.2Brn.Up.2,MiMammal,29837,29351,29319,29316,28731,28731,28422
MiMammal.0821.3Chk.Up.1,MiMammal,26591,26189,26094,26128,25954,25954,25896
MiMammal.0821.4Pad.Dn.1,MiMammal,24488,23994,23885,23892,23361,23361,22635
MiMammal.0821.4Pad.Up11.1,MiMammal,25221,24885,24796,24802,24302,24302,23852
MiMammal.0821.4Pad.Up5.1,MiMammal,25409,24807,24751,24765,24047,24047,23643
MiMammal.0821.5Sqm.Dn.1,MiMammal,22388,22057,21894,22034,21157,21157,21149
MiMammal.0821.5Sqm.Up.2,MiMammal,26940,26546,26484,26505,25934,25934,23937
MiMammal.0821.Kangaroo,MiMammal,35983,35621,35568,35591,34567,34567,34380
MiMammal.0321.1Prt.Up.1,MiMammal,26134,25811,25789,25733,25233,25233,25139
MiMammal.0321.2Brn.Dn.2,MiMammal,25540,25119,24988,24967,24361,24361,23938
