Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.1Prt.Dn.2,COI,117773,110360,108295,108264,105171,105171,104560
COI.0421.1Prt.Up.1,COI,73958,69314,67686,67496,65181,65181,64592
COI.0421.1Prt.Up.3,COI,124792,117246,115209,115333,112309,112309,111284
COI.0421.2Brn.Up.1,COI,107408,101673,98389,98382,94340,94340,92288
COI.0421.2Brn.Up.3,COI,113208,106230,101307,101596,96025,96025,94838
COI.0421.3Chk.Dn.1,COI,111074,105127,99123,99739,92253,92253,78748
Delta.1m1.072021,COI,151317,142877,142335,142354,139074,139074,133180
COI.0421.4Pad.Up11.3,COI,78597,73670,69949,70892,67113,67113,62215
Delta.1m2.072021,COI,114409,107303,106400,106375,103471,103471,99145
COI.0421.5Sqm.Dn.2,COI,117512,109799,102976,103959,95091,95091,93251
COI.0421.5Sqm.Up.2,COI,111753,105561,101862,101941,97980,97980,95182
COI.0821.3Chk.Up.2,COI,118328,109816,105965,106136,100614,100614,95164
COI.0821.4Pad.Dn.1,COI,112402,106110,103599,103725,101361,101361,99209
COI.0821.4Pad.Up11.1,COI,79597,73772,67995,70363,64877,64877,64271
COI.0821.4Pad.Up5.2,COI,113078,106254,102735,102763,98239,98239,97129
COI.Kangaroo.Run.2,COI,129206,121594,121447,121558,120277,120277,117464
Delta.1m3.072021,COI,119525,111960,111387,111336,108960,108960,104087
MBT.1m1.072021,COI,113374,105596,104795,104942,102012,102012,96587
