Sample_name,Locus,file1,file2
MiFish.0521.3Chk.Dn.1,MiFish,Locus_MiFish_MiFish-0521-3Chk-Dn-1_S70_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-3Chk-Dn-1_S70_L001_R2_001.fastq
MiFish.0521.3Chk.Up.3,MiFish,Locus_MiFish_MiFish-0521-3Chk-Up-3_S71_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-3Chk-Up-3_S71_L001_R2_001.fastq
MiFish.0521.4Pad.Dn.1,MiFish,Locus_MiFish_MiFish-0521-4Pad-Dn-1_S72_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-4Pad-Dn-1_S72_L001_R2_001.fastq
MiFish.0521.4Pad.Up11.1,MiFish,Locus_MiFish_MiFish-0521-4Pad-Up11-1_S73_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-4Pad-Up11-1_S73_L001_R2_001.fastq
MiFish.0521.4Pad.Up5.1,MiFish,Locus_MiFish_MiFish-0521-4Pad-Up5-1_S74_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-4Pad-Up5-1_S74_L001_R2_001.fastq
MiFish.0521.5Sqm.Dn.1,MiFish,Locus_MiFish_MiFish-0521-5Sqm-Dn-1_S75_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-5Sqm-Dn-1_S75_L001_R2_001.fastq
MiFish.0521.5Sqm.Dn.2,MiFish,Locus_MiFish_MiFish-0521-5Sqm-Dn-2_S76_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-5Sqm-Dn-2_S76_L001_R2_001.fastq
MiFish.0521.5Sqm.Up.2,MiFish,Locus_MiFish_MiFish-0521-5Sqm-Up-2_S77_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-5Sqm-Up-2_S77_L001_R2_001.fastq
MiFish.0521.5Sqm.Up.3,MiFish,Locus_MiFish_MiFish-0521-5Sqm-Up-3_S78_L001_R1_001.fastq,Locus_MiFish_MiFish-0521-5Sqm-Up-3_S78_L001_R2_001.fastq
MiFish.Kangaroo.Run.5,MiFish,Locus_MiFish_MiFish-Kangaroo-Run-5_S79_L001_R1_001.fastq,Locus_MiFish_MiFish-Kangaroo-Run-5_S79_L001_R2_001.fastq
