Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiFish.0621.1Prt.Dn.2,MiFish,115971,110262,110020,110201,109318,109318,108620
MiFish.0621.1Prt.Up.2,MiFish,97051,92405,92254,92355,91019,91019,90469
MiFish.0621.3Chk.Dn.3,MiFish,172155,165311,165286,165218,164937,164937,164788
MiFish.0621.4Pad.Up11.2,MiFish,105992,100456,100441,100387,99834,99834,94886
MiFish.0621.5Sqm.Dn.1,MiFish,96496,90550,90189,90141,88308,88308,86779
MiFish.0621.5Sqm.Up.2,MiFish,175822,166082,165905,165906,164914,164914,162960
MiFish.0721.1Prt.Dn.1,MiFish,103686,98334,98320,98313,97774,97774,93922
MiFish.0721.1Prt.Up.3,MiFish,246863,233849,233654,233634,230403,230403,229069
MiFish.0721.2Brn.Dn.1,MiFish,115018,108539,108239,108266,106780,106780,105085
MiFish.0721.2Brn.Up.3,MiFish,74391,70183,69870,70144,69246,69246,69186
MiFish.0721.3Chk.Dn.1,MiFish,97072,92201,92141,92152,91965,91965,91707
MiFish.0721.3Chk.Dn.2,MiFish,98438,94393,94331,94329,94204,94204,93918
MiFish.0721.3Chk.Dn.3,MiFish,106195,101418,101191,101337,100985,100985,100217
MiFish.0721.3Chk.Up.3,MiFish,112844,107772,107596,107634,107295,107295,107295
MiFish.0721.4Pad.Dn.1,MiFish,119778,111658,111332,111569,110767,110767,104078
MiFish.0721.4Pad.Up11.1,MiFish,123467,117401,117296,117310,116314,116314,111384
MiFish.0721.4Pad.Up11.2,MiFish,145370,138343,138179,138139,136475,136475,132165
MiFish.0721.4Pad.Up5.1,MiFish,107514,100499,100393,100366,99658,99658,99118
MiFish.0721.4Pad.Up5.2,MiFish,108645,102763,102716,102583,102029,102029,101400
MiFish.0721.4Pad.Up5.3,MiFish,101635,93872,93721,93614,92682,92682,92426
MiFish.0721.5Sqm.Dn.1,MiFish,106747,101706,101674,101567,100784,100784,92961
MiFish.0721.5Sqm.Up.1,MiFish,87305,82784,82709,82696,82155,82155,75712
MiFish.0721.5Sqm.Up.3,MiFish,113823,108380,108338,108323,107666,107666,96764
MiFish.0721.4Pad.Up5.1.TR2,MiFish,66488,62824,62749,62703,62338,62338,62096
MiFish.0721.4Pad.Up5.1.TR3,MiFish,128735,120693,120492,120279,119587,119587,118989
MiFish.0521.1Prt.Dn.1,MiFish,74390,69018,68842,68878,68353,68353,67943
MiFish.0521.1Prt.Up.1,MiFish,6981,6564,6548,6559,6544,6544,6544
MiFish.0521.2Brn.Dn.3,MiFish,130137,123775,123513,123653,122652,122652,120175
MiFish.0521.3Chk.Dn.1,MiFish,37030,33799,33724,33743,33561,33561,33553
MiFish.0521.3Chk.Up.3,MiFish,115000,109129,109086,109073,108964,108964,108482
MiFish.0521.4Pad.Dn.1,MiFish,142831,133909,133735,133665,133189,133189,132681
MiFish.0521.4Pad.Up11.1,MiFish,131009,124217,124138,123930,122697,122697,122675
MiFish.0521.4Pad.Up5.1,MiFish,103289,98096,98085,98070,97815,97815,97749
MiFish.0521.5Sqm.Dn.1,MiFish,94844,90789,90670,90709,89996,89996,88402
MiFish.0521.5Sqm.Dn.2,MiFish,115831,109547,109420,109519,107965,107965,105172
MiFish.0521.5Sqm.Up.2,MiFish,40034,38291,38289,38290,38252,38252,38252
MiFish.0521.5Sqm.Up.3,MiFish,110502,105777,105773,105773,105169,105169,104082
MiFish.Kangaroo.Run.5,MiFish,94039,89911,89908,89879,89578,89578,89569
