Sample_name,Locus,file1,file2
Ac16S.PadUp11.4.0321,Ac16S,Locus_Ac16S_NGN0479_R1_001.fastq,Locus_Ac16S_NGN0479_R2_001.fastq
Ac16S.PadUp11.5.0321,Ac16S,Locus_Ac16S_NGN0480_R1_001.fastq,Locus_Ac16S_NGN0480_R2_001.fastq
Ac16S.PadUp11.6.0321,Ac16S,Locus_Ac16S_NGN0481_R1_001.fastq,Locus_Ac16S_NGN0481_R2_001.fastq
Ac16S.PadUp5.4.0321,Ac16S,Locus_Ac16S_NGN0482_R1_001.fastq,Locus_Ac16S_NGN0482_R2_001.fastq
Ac16S.PadUp5.5.0321,Ac16S,Locus_Ac16S_NGN0483_R1_001.fastq,Locus_Ac16S_NGN0483_R2_001.fastq
Ac16S.PadUp5.6.0321,Ac16S,Locus_Ac16S_NGN0484_R1_001.fastq,Locus_Ac16S_NGN0484_R2_001.fastq
Ac16S.PadUp11.1.0421,Ac16S,Locus_Ac16S_NGN0485_R1_001.fastq,Locus_Ac16S_NGN0485_R2_001.fastq
Ac16S.PadUp11.2.0421,Ac16S,Locus_Ac16S_NGN0486_R1_001.fastq,Locus_Ac16S_NGN0486_R2_001.fastq
Ac16S.PadUp11.3.0421,Ac16S,Locus_Ac16S_NGN0487_R1_001.fastq,Locus_Ac16S_NGN0487_R2_001.fastq
Ac16S.PadUp5.1.0421,Ac16S,Locus_Ac16S_NGN0488_R1_001.fastq,Locus_Ac16S_NGN0488_R2_001.fastq
Ac16S.PadUp5.2.0421,Ac16S,Locus_Ac16S_NGN0489_R1_001.fastq,Locus_Ac16S_NGN0489_R2_001.fastq
Ac16S.PadUp5.3.0421,Ac16S,Locus_Ac16S_NGN0490_R1_001.fastq,Locus_Ac16S_NGN0490_R2_001.fastq
Ac16S.ChkDn.1.0321,Ac16S,Locus_Ac16S_NGN0491_R1_001.fastq,Locus_Ac16S_NGN0491_R2_001.fastq
Ac16S.ChkDn.2.0321,Ac16S,Locus_Ac16S_NGN0492_R1_001.fastq,Locus_Ac16S_NGN0492_R2_001.fastq
Ac16S.ChkDn.3.0321,Ac16S,Locus_Ac16S_NGN0493_R1_001.fastq,Locus_Ac16S_NGN0493_R2_001.fastq
Ac16S.ChkUp.1.0321,Ac16S,Locus_Ac16S_NGN0494_R1_001.fastq,Locus_Ac16S_NGN0494_R2_001.fastq
Ac16S.ChkUp.2.0321,Ac16S,Locus_Ac16S_NGN0495_R1_001.fastq,Locus_Ac16S_NGN0495_R2_001.fastq
Ac16S.ChkUp.3.0321,Ac16S,Locus_Ac16S_NGN0478_R1_001.fastq,Locus_Ac16S_NGN0478_R2_001.fastq
