"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"41","2cc9d43a32e4126532a5ff11625939fa48f003ee",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"42","b5c14fdf6dfa481eb14e577bb403bc2a6d0f3074",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"43","ed090e1be9ccd3c505553632ddc3807a8a30d8dc",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"44","63a7d0273f9bdd41fc062c411d5c529730a67ff1",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"45","89d5bdecaf00b8e5d44a924796a426932e836398",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"46","373626e70a1ef280d25cf0997ce9f0a5173161da",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"47","4cc41e662c82239c20d414581dc6d38ad95962d3",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"48","ad158169a38fe3cd05c255435f795cd033e2ad6a",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"49","859c00d62057be5c036701e70d74cda725564e5a",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"50","db9c090e2e1fb9bdeecd9b281bcd355c11feba06",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"51","6ceb0c56784fae44ad708a5e28563f91c8796d88",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"52","b3d30346278fa30db0eef18671aae40df02b882a",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"53","a15e22ed7ad2861fdd98c7bfa4dc423015556332",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"54","a9e9532c1b4138fe542b34ca59e6a8257ee525b9",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"55","87d233a8254ee30e66de70afe4d6c4365ff65168",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"56","a646e9ad3dcff84d17bca1c4a6cef28dcbb4066e",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"57","f9c2b0bd7a72c22105cdad1e67cdad9c266c755b",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"58","98125da03cb8d873ad52e65803e50011908e758a",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"59","f28a82c699ac41d6c08b6ff4c93717382bdef8dc",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"60","7f53e42d632c3656826d77349bca8083352f966d",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"61","f302523a8102dbb618a66484a4cf34dc2bc4c8e8",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"62","22db0a377a14c8056e97d55d03cc320aa4304ee8",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"63","10cbb031d618b4a5d8a1ab164ebb0a24bbe7a677",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"64","e47b619f53dfb898becca67e47141ea1dff713c9",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"65","53b0ee6f290946259fb0d7ace908943c67513866",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"66","a26f702425e0bd4590c76a36d7fb492a1a7df98f",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"67","96a41542ada1cc55d3d1b24d01af3c73a716b1fb",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"68","913fc1253fb680bab697f43f73f6feba4b3d3bc6",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"69","5d1e702598dc91bd90ca55194435686a3fbf3e39",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"70","cce3106bd1058df640524cdaf187c64ed0e66d43",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
