Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.1Prt.Dn.2,COI,117061,89586,86676,86027,53466,53466,53448
COI.0421.1Prt.Up.1,COI,63225,46956,44496,43818,24798,24798,24694
COI.0421.1Prt.Up.3,COI,138537,106412,103601,103213,55817,55817,55460
COI.0421.2Brn.Up.1,COI,159929,128486,123348,123436,99644,99644,99020
COI.0421.2Brn.Up.3,COI,149378,116533,109419,109783,64915,64915,64474
COI.0421.3Chk.Dn.1,COI,131654,105076,95983,97548,76592,76592,65124
Delta.1m1.072021,COI,185570,144230,143764,143454,78947,78947,76429
COI.0421.4Pad.Up11.3,COI,92445,69435,64292,66287,24023,24023,23962
Delta.1m2.072021,COI,125698,96267,95400,95261,44389,44389,43147
COI.0421.5Sqm.Dn.2,COI,106217,75924,68258,69309,49985,49985,49266
COI.0421.5Sqm.Up.2,COI,125025,100827,93444,95444,81432,81432,79727
COI.0821.3Chk.Up.2,COI,140639,106752,100913,101476,72878,72878,70104
COI.0821.4Pad.Dn.1,COI,118047,93948,90815,90945,83057,83057,82456
COI.0821.4Pad.Up11.1,COI,75101,52583,46634,49386,36977,36977,36831
COI.0821.4Pad.Up5.2,COI,111990,87205,82054,82579,54486,54486,54310
COI.Kangaroo.Run.2,COI,245850,180540,180489,180461,179457,179457,174197
Delta.1m3.072021,COI,118724,88218,87597,87533,36297,36297,35601
MBT.1m1.072021,COI,133187,95141,94228,94213,34232,34232,33247
