"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","170b57a0c2532c0c667d4ca74bba1330d319836d",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"2","d07ffd266a067d615a4462ba5625a11b2987168b",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"3","6785301e730aad280f607641258d1565592b8db6",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"4","dcda35cdb325fa88556c3ee37ba18e6f5d8bf054",7996,"Ictaluridae","family",0.9998,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","",""
"5","0c1bf6928cf58c71e6201112ecbf2a3b972a8163",33213,"Bilateria","clade",0.9992,"Metazoa","","","","","",""
"6","4aca2d66742bf7df4738821ee094e241e0994f7c",2743731,"Pogonichthyinae","subfamily",0.9338,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"7","080147934ea92c696ef63f2154b2b093f3a98845",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"8","b92c17019f7a4206f151675cccb9db4163125e56",338152,"Felinae","subfamily",0.9853,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"9","28818b32d8eb010f744cb7b093ade386d57d7d1f",7746,"Petromyzontidae","family",0.9996,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"10","a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b",504568,"Salmoninae","subfamily",0.9997,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"11","b9286e7d00341090882184f5b386f2cd3c61e051",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"12","82f7a68275ba2f8a21cad8b4bb59043d49ee3797",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"13","6ab7f1dbf7fe2af8e2d18cbdcf40bc7bc99afef1",38609,"Diprotodontia","order",0.9998,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"14","8b1c4ab0ed2cf8a6ca50811baacd610559984469",9126,"Passeriformes","order",0.9101,"Metazoa","Chordata","Aves","Passeriformes","","",""
"15","ae072da6766540acd369d0e89b6d68fde7866214",8092,"Cottidae","family",0.9194,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"16","8828dbea272cc6952163b0c035e1439792fe4507",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"17","174ba09ffa85bf4e273a5aefc3eeaf91df17c13e",504568,"Salmoninae","subfamily",0.9999,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"18","298e4a7ba813b8c4aaba63985e35daad007212bb",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"19","445504a68c7d0c288ae4240eaa54530d832cacb6",7996,"Ictaluridae","family",0.9998,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","",""
"20","f78bcb6a1510c3903a25fc31f782637206639d9e",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"21","4e47c2e0572f58054f918cd03c7b545bdedb6f67",504568,"Salmoninae","subfamily",0.9368,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"22","fa81cf3399af9f427e765a5f4059e7994b550ac1",8092,"Cottidae","family",0.9192,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
