Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0340,COI,130165,99512,95702,96173,91488,91488,89910
NGN0341,COI,94971,73075,70102,70296,66637,66637,65545
NGN0342,COI,181623,130606,121228,123052,113636,113636,112464
MGY11,COI,131686,105450,102466,103306,99439,99439,97127
NGN0343,COI,172125,126274,118626,121192,114550,114550,107467
MGY12,COI,75524,56489,56108,56191,54393,54393,52064
NGN0344,COI,249456,184228,170573,175409,161890,161890,158352
NGN0345,COI,184852,133866,121692,126023,114736,114736,112476
NGN0346,COI,197283,145281,134554,137641,127734,127734,124554
NGN0347,COI,199359,144779,140134,141261,134880,134880,134710
NGN0348,COI,209620,153091,147208,148381,140371,140371,139915
NGN0349,COI,186070,133830,127402,128598,121313,121313,120209
NGN0350,COI,153323,110963,103836,105673,98939,98939,98558
NGN0351,COI,173479,127582,121102,122855,115795,115795,113982
NGN0352,COI,197963,145078,137633,139983,129396,129396,127037
NGN0353,COI,160376,115188,106962,109115,101523,101523,98240
NGN0354,COI,158785,117162,112379,113290,107560,107560,103058
NGN0355,COI,212690,156249,148551,150609,141432,141432,139733
NGN0356,COI,206818,151289,142626,145001,135171,135171,133723
NGN0357,COI,208299,151869,144442,146535,137656,137656,136490
NGN0358,COI,187519,139634,137538,138136,135845,135845,129481
NGN0359,COI,199835,140341,140238,140229,125683,125683,122185
MGY14,COI,161894,125641,122392,123205,117366,117366,114544
MGY15,COI,132065,99650,98342,98751,94572,94572,89323
MGY16,COI,137405,106349,103554,104104,100347,100347,97067
MGY17,COI,129818,100785,97710,98464,94763,94763,92185
