"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"a48239a814ca2f97d04e6d8f3da83a28fb959072","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"d1463558602bbd84bea02961a12237b821b43668","   9823","Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f","   9987","Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
"a426780e439ff6e04e7c60b1ea9ca40b2376c047","  13712","Tamias","genus","0.9967","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","Tamias",""
"34b95af64697c2feb0ab121d484733666197ae1f","   8853","Branta canadensis","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis"
"60bae576e1162a8312b8a84b4831b1a1fc8236a2","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"57d6d898eda1e9441a530d777b4b400eaafcc830","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"a019c9e9e643ecedfd32e60e9f6a0fb6653cd45a","  40674","Mammalia","class","1.0000","Metazoa","Chordata","Mammalia","","","",""
"2a57b50fb2af64df3bf7b78d13ef04e7215a04d1","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"65b27bbf5f77584b0eacafb5c71cc5305bce8503","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"4ae8f1376f42f31bf564a8d4e4d52ab2f7207b8b","  40674","Mammalia","class","1.0000","Metazoa","Chordata","Mammalia","","","",""
"31f58f5089fdc196a53e11198d538061dd41bb97","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"218981a28bc34046ea43eeabfb5490488a3fdcec","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"674af3b33c7bae7701e8234ea49ccd2c64e251d3","  32523","Tetrapoda","clade","1.0000","Metazoa","Chordata","","","","",""
"23306ba2884d8b883111906c8845e52a2ba66951","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"6a201abd1d3ac2a687b67be26aa88d80872ed628","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"c51ba26786eb5812df3c3d681e5755e302ae36ac","   8112","Percoidei","suborder","1.0000","Metazoa","Chordata","Actinopteri","Perciformes","","",""
"c1a0c35ab3134a8952d48617cc2d9a51d2caa82f","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"778019ac53aa0608a2279757680179b5e9d2497d","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"6c10b5899bba357b017747ab42656440e6bd11e6","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"0e34998ec545f96d11c6a9e4fa8b4d58a5854b29","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"9e831a2f93daeb2d14b4c4990038bad6b33b4cd0","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"d0e9652869aead5d07a070dd634b4c12000d4a69","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"c779f18b6e11efc6f20c71ee96a74329a2111d87","  40674","Mammalia","class","1.0000","Metazoa","Chordata","Mammalia","","","",""
"33c45d1377b7bac7da176c22f678a253df451f47","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"823ca2e1d5fc1c4e026c9d421b56f4c92a572c8a","  40674","Mammalia","class","1.0000","Metazoa","Chordata","Mammalia","","","",""
"f9be645b97427fce55b25c209cad9ca860dd2747","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"5e50b1d56847bfae9d3c7aa2b737b191466ca7e9","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"827f99ae61c4f9a80e1b415ff8de0c02d35659dd","  95650","Pipilo maculatus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus"
"b6790504d21132ffe23ac3995a0acf3a7147e4a6"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"5da2d2c48f351ecbcbf5596a828bc015112ce5c6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"a45d2f0036757e6e658ab19414c8408240ca7d75","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"06a946d5a422494c1c67a9c47b31dc42cb821da2","  40217","Junco hyemalis","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"4f650f46a3fdcf0eb9372830e1a413f195f26636","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"63283ebd575153d54e2bc0a92a096c3cae26a821","      1","root","no rank","1.0000","","","","","","",""
"aac79758a37d9b1780e2a717d568e425795ee1fc"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"9d436b01c0765b1fa99fc59215f7a7a994ed93bf","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"58a9642781301ed80b221ec892fb7c069ac234cb","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"7dbbb7b47ad5afe1af5a28e2a000189ee4a5179c","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"2d466126775a38dfacd33e18488433d8805d6a0e","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"080414d0bb67438c6fccb4bec9182ce0510a1d58","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"b70ad915990944a2669a739bb1397e4a24c649a6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"457e4ecc0941067f22164327a906177d28bacfdd","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"0ee0d8459b966adaaf0d0623040cc5a5453fe556"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"e9e268eeb25542d4c452acfcc77fbf57c857e893","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"b9fab6224e8cc734fbfafdbec41d65a91f6f67fd","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"94b63114aa34d641f6e6f065e77719ba46fa9c1b"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"91726d9019515298a4a854791476ae3e330981f2","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"a68608c2c625dea106f2c393952f6aeb76090f1d","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"d624ea8522a5bf373590cd36e8fdb266f166f7e9","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"b6b64c462639aacad1c36a87cd9877eb1b4076cc","  55153","Sciuridae","family","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"e544cd73070aef36c0ab50afa9cc5cd9528d4636"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"dd72de24d08d1e4b2d68c95476f3fe9bed6b4591","   9373","Talpidae","family","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","",""
