Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
19,MiMammal,137810,135559,135227,135527,134073,134073,133499
20,MiMammal,111714,109628,109492,109619,108865,108865,108820
21,MiMammal,116864,114858,114608,114752,113839,113839,113521
22,MiMammal,121123,118854,118810,118557,116372,116372,116349
23,MiMammal,146520,143105,142969,142949,141558,141558,138473
24,MiMammal,131490,129087,128900,128975,127299,127299,126968
25,MiMammal,118631,115484,115467,115432,115250,115250,115241
26,MiMammal,145612,142869,142808,142850,142006,142006,141836
27,MiMammal,135636,133132,133050,133121,132667,132667,132473
28,MiMammal,123373,121086,121066,121068,119728,119728,119715
29,MiMammal,134589,131672,131539,131493,130659,130659,130225
30,MiMammal,115536,113302,113282,113193,111489,111489,111372
31,MiMammal,170809,167116,166817,166922,164713,164713,162940
32,MiMammal,174781,171232,171135,170842,167559,167559,166644
33,MiMammal,178295,172948,171365,171469,162844,162844,157963
