Sample_name,Locus,file1,file2
MiMammal.0521.2Brn.Up.3,MiMammal,Locus_MiMammal_MiMammal-0521-2Brn-Up-3_S31_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-2Brn-Up-3_S31_L001_R2_001.fastq
MiMammal.0521.3Chk.Up.1,MiMammal,Locus_MiMammal_MiMammal-0521-3Chk-Up-1_S32_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-3Chk-Up-1_S32_L001_R2_001.fastq
MiMammal.0521.3Chk.Up.3,MiMammal,Locus_MiMammal_MiMammal-0521-3Chk-Up-3_S33_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-3Chk-Up-3_S33_L001_R2_001.fastq
MiMammal.0521.4Pad.Dn.3,MiMammal,Locus_MiMammal_MiMammal-0521-4Pad-Dn-3_S34_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-4Pad-Dn-3_S34_L001_R2_001.fastq
MiMammal.0521.4Pad.Up5.2,MiMammal,Locus_MiMammal_MiMammal-0521-4Pad-Up5-2_S35_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-4Pad-Up5-2_S35_L001_R2_001.fastq
MiMammal.0521.5Sqm.Dn.1,MiMammal,Locus_MiMammal_MiMammal-0521-5Sqm-Dn-1_S36_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-5Sqm-Dn-1_S36_L001_R2_001.fastq
MiMammal.0521.5Sqm.Dn.2,MiMammal,Locus_MiMammal_MiMammal-0521-5Sqm-Dn-2_S37_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-5Sqm-Dn-2_S37_L001_R2_001.fastq
MiMammal.0521.5Sqm.Up.2,MiMammal,Locus_MiMammal_MiMammal-0521-5Sqm-Up-2_S38_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-5Sqm-Up-2_S38_L001_R2_001.fastq
MiMammal.0521.5Sqm.Up.3,MiMammal,Locus_MiMammal_MiMammal-0521-5Sqm-Up-3_S39_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-5Sqm-Up-3_S39_L001_R2_001.fastq
MiMammal.Kangaroo.Run.5,MiMammal,Locus_MiMammal_MiMammal-Kangaroo-Run-5_S40_L001_R1_001.fastq,Locus_MiMammal_MiMammal-Kangaroo-Run-5_S40_L001_R2_001.fastq
