Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type,rc
8,NGN0776,MiFish.1221.5Sqm.Dn.1,MiFish,B,129,UDP0129,UDP0129,,1221,5Sqm,Dn,1,,,0
8,NGN0777,MiFish.1221.5Sqm.Dn.3,MiFish,B,130,UDP0130,UDP0130,,1221,5Sqm,Dn,3,,,0
8,NGN0778,MiFish.0122.1Prt.Dn.1,MiFish,B,131,UDP0131,UDP0131,,122,1Prt,Dn,1,,,0
8,NGN0779,MiFish.0122.1Prt.Up.1,MiFish,B,132,UDP0132,UDP0132,,122,1Prt,Up,1,,,0
8,NGN0780,MiFish.0122.2Brn.Dn.3,MiFish,B,133,UDP0133,UDP0133,,122,2Brn,Dn,3,,,0
8,NGN0781,MiFish.0122.2Brn.Up.2,MiFish,B,134,UDP0134,UDP0134,,122,2Brn,Up,2,,,0
8,NGN0782,MiFish.0122.2Brn.Up.3,MiFish,B,135,UDP0135,UDP0135,,122,2Brn,Up,3,,,0
8,NGN0783,MiFish.0122.3Chk.Up.1,MiFish,B,136,UDP0136,UDP0136,,122,3Chk,Up,1,,,0
8,NGN0784,MiFish.0122.4Pad.Dn.1,MiFish,B,137,UDP0137,UDP0137,,122,4Pad,Dn,1,,,0
8,NGN0785,MiFish.0122.4Pad.Dn.2,MiFish,B,138,UDP0138,UDP0138,,122,4Pad,Dn,2,,,0
8,NGN0786,MiFish.0122.4Pad.Up5.2,MiFish,B,139,UDP0139,UDP0139,,122,4Pad,Up5,2,,,0
8,NGN0787,MiFish.0122.5Sqm.Dn.2,MiFish,B,140,UDP0140,UDP0140,,122,5Sqm,Dn,2,,,0
8,NGN0788,MiFish.0222.2Brn.Dn.1,MiFish,B,141,UDP0141,UDP0141,,222,2Brn,Dn,1,,,0
8,NGN0789,MiFish.0222.2Brn.Dn.3,MiFish,B,142,UDP0142,UDP0142,,222,2Brn,Dn,3,,,0
