Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type
1,1,MiFish.0321.4Pad.Up11.1.40cycles,MiFish,A,1,UDP0001,UDP0001,A1,321,4Pad,Up11,1,1,sample
1,2,MiFish.0321.4Pad.Up11.2.40cycles,MiFish,A,2,UDP0002,UDP0002,B1,321,4Pad,Up11,2,1,sample
1,3,MiFish.0321.4Pad.Up11.3.40cycles,MiFish,A,3,UDP0003,UDP0003,C1,321,4Pad,Up11,3,1,sample
1,4,MiFish.0321.4Pad.Up5.1.40cycles,MiFish,A,4,UDP0004,UDP0004,D1,321,4Pad,Up5,1,1,sample
1,5,MiFish.0321.4Pad.Up5.2.40cycles,MiFish,A,5,UDP0005,UDP0005,E1,321,4Pad,Up5,2,1,sample
1,6,MiFish.0321.4Pad.Up5.3.40cycles,MiFish,A,6,UDP0006,UDP0006,F1,321,4Pad,Up5,3,1,sample
1,7,MiFish.0421.4Pad.Up11.1.40cycles,MiFish,A,7,UDP0007,UDP0007,G1,421,4Pad,Up11,1,1,sample
1,8,MiFish.0421.4Pad.Up11.2.40cycles,MiFish,A,8,UDP0008,UDP0008,H1,421,4Pad,Up11,2,1,sample
1,9,MiFish.0421.4Pad.Up11.3.40cycles,MiFish,A,9,UDP0009,UDP0009,A2,421,4Pad,Up11,3,1,sample
1,10,MiFish.0421.4Pad.Up5.1.40cycles,MiFish,A,10,UDP0010,UDP0010,B2,421,4Pad,Up5,1,1,sample
1,11,MiFish.0421.4Pad.Up5.2.40cycles,MiFish,A,11,UDP0011,UDP0011,C2,421,4Pad,Up5,2,1,sample
1,12,MiFish.0421.4Pad.Up5.3.40cycles,MiFish,A,12,UDP0012,UDP0012,D2,421,4Pad,Up5,3,1,sample
1,13,MiFish.0321.3Chk.Dn.1.40cycles,MiFish,A,13,UDP0013,UDP0013,E2,321,3Chk,Dn,1,1,sample
1,14,MiFish.0321.3Chk.Dn.2.40cycles,MiFish,A,14,UDP0014,UDP0014,F2,321,3Chk,Dn,2,1,sample
