"Sample_name","class","species","tot"
"MiMammal.0321.4Pad.Dn.2","Actinopteri","Oncorhynchus kisutch",138
"MiMammal.0321.4Pad.Dn.2","Actinopteri","Oncorhynchus mykiss",132
"MiMammal.0321.4Pad.Dn.2","Aves","Melospiza melodia",1634
"MiMammal.0321.4Pad.Dn.2","Mammalia","Canis lupus",2408
"MiMammal.0321.4Pad.Dn.2","Mammalia","Didelphis virginiana",9
"MiMammal.0321.4Pad.Dn.3","Actinopteri","Oncorhynchus clarkii",2534
"MiMammal.0321.4Pad.Dn.3","Actinopteri","Oncorhynchus kisutch",822
"MiMammal.0321.4Pad.Dn.3","Actinopteri","Oncorhynchus mykiss",1227
"MiMammal.0321.4Pad.Dn.3","Mammalia","Canis lupus",14087
"MiMammal.0321.4Pad.Up11.1","Actinopteri","Oncorhynchus clarkii",2826
"MiMammal.0321.4Pad.Up11.1","Actinopteri","Oncorhynchus mykiss",7600
"MiMammal.0321.4Pad.Up11.1","Aves","Melospiza melodia",1270
"MiMammal.0321.4Pad.Up11.1","Mammalia","Neovison vison",3006
"MiMammal.0321.4Pad.Up11.2","Actinopteri","Oncorhynchus clarkii",343
"MiMammal.0321.4Pad.Up11.2","Actinopteri","Oncorhynchus mykiss",961
"MiMammal.0321.4Pad.Up11.2","Actinopteri","Perca flavescens",2088
"MiMammal.0321.4Pad.Up11.2","Mammalia","Lynx rufus",8
"MiMammal.0321.4Pad.Up11.3","Actinopteri","Oncorhynchus clarkii",639
"MiMammal.0321.4Pad.Up11.3","Actinopteri","Oncorhynchus mykiss",1901
"MiMammal.0321.4Pad.Up11.3","Actinopteri","Perca flavescens",462
"MiMammal.0321.4Pad.Up5.1","Actinopteri","Oncorhynchus mykiss",953
"MiMammal.0321.4Pad.Up5.2","Actinopteri","Perca flavescens",780
"MiMammal.0321.4Pad.Up5.3","Actinopteri","Perca flavescens",1421
"MiMammal.0321.4Pad.Up5.3","Aves","Melospiza melodia",4440
"MiMammal.0321.4Pad.Up5.3","Mammalia","Sus scrofa",4052
"MiMammal.0321.5Sqm.Dn.1","Actinopteri","Ameiurus nebulosus",742
"MiMammal.0321.5Sqm.Dn.1","Actinopteri","Oncorhynchus clarkii",4902
"MiMammal.0321.5Sqm.Dn.1","Actinopteri","Pimephales promelas",1240
"MiMammal.0321.5Sqm.Dn.1","Aves","Branta canadensis",2175
"MiMammal.0321.5Sqm.Dn.2","Actinopteri","Oncorhynchus clarkii",1542
"MiMammal.0321.5Sqm.Dn.2","Actinopteri","Oncorhynchus mykiss",37
