"","Sample_name","species","tot"
"76","MiMammal.0321.4Pad.Dn.3","Oncorhynchus mykiss",1954
"77","MiMammal.0321.4Pad.Up11.1","Melospiza melodia",1270
"78","MiMammal.0321.4Pad.Up11.1","Neovison vison",3006
"79","MiMammal.0321.4Pad.Up11.1","Oncorhynchus clarkii",2826
"80","MiMammal.0321.4Pad.Up11.1","Oncorhynchus mykiss",7600
"81","MiMammal.0321.4Pad.Up11.2","Lynx rufus",8
"82","MiMammal.0321.4Pad.Up11.2","Oncorhynchus clarkii",343
"83","MiMammal.0321.4Pad.Up11.2","Oncorhynchus mykiss",961
"84","MiMammal.0321.4Pad.Up11.2","Perca flavescens",2088
"85","MiMammal.0321.4Pad.Up11.3","Oncorhynchus clarkii",1022
"86","MiMammal.0321.4Pad.Up11.3","Oncorhynchus mykiss",3075
"87","MiMammal.0321.4Pad.Up11.3","Perca flavescens",721
"88","MiMammal.0321.4Pad.Up5.1","Oncorhynchus mykiss",953
"89","MiMammal.0321.4Pad.Up5.2","Perca flavescens",780
"90","MiMammal.0321.4Pad.Up5.3","Melospiza melodia",4440
"91","MiMammal.0321.4Pad.Up5.3","Perca flavescens",1421
"92","MiMammal.0321.4Pad.Up5.3","Sus scrofa",4052
"93","MiMammal.0321.5Sqm.Dn.1","Ameiurus nebulosus",742
"94","MiMammal.0321.5Sqm.Dn.1","Branta canadensis",2175
"95","MiMammal.0321.5Sqm.Dn.1","Oncorhynchus clarkii",4902
"96","MiMammal.0321.5Sqm.Dn.1","Pimephales promelas",1240
"97","MiMammal.0321.5Sqm.Dn.2","Lampetra sp. CBM:ZF:17561",3
"98","MiMammal.0321.5Sqm.Dn.2","Melospiza melodia",648
"99","MiMammal.0321.5Sqm.Dn.2","Oncorhynchus clarkii",1542
"100","MiMammal.0321.5Sqm.Dn.2","Oncorhynchus mykiss",37
"101","MiMammal.0321.5Sqm.Dn.2","Pimephales promelas",256
"102","MiMammal.0321.5Sqm.Dn.3","Ameiurus nebulosus",680
"103","MiMammal.0321.5Sqm.Dn.3","Oncorhynchus clarkii",518
"104","MiMammal.0321.5Sqm.Dn.3","Pimephales promelas",329
"105","MiMammal.0321.5Sqm.Dn.3","Sus scrofa",1756
"106","MiMammal.0321.5Sqm.Up.1","Ameiurus nebulosus",2322
"107","MiMammal.0321.5Sqm.Up.1","Branta canadensis",1777
"108","MiMammal.0321.5Sqm.Up.1","Didelphis virginiana",4201
"109","MiMammal.0321.5Sqm.Up.1","Melospiza melodia",12090
"110","MiMammal.0321.5Sqm.Up.1","Oncorhynchus clarkii",1414
"111","MiMammal.0321.5Sqm.Up.1","Pimephales promelas",1087
"112","MiMammal.0321.5Sqm.Up.2","Lampetra sp. CBM:ZF:17561",993
"113","MiMammal.0321.5Sqm.Up.2","Melospiza melodia",9001
"114","MiMammal.0321.5Sqm.Up.2","Oncorhynchus clarkii",3505
"115","MiMammal.0321.5Sqm.Up.2","Oncorhynchus kisutch",2485
"116","MiMammal.0321.5Sqm.Up.2","Oncorhynchus mykiss",494
"117","MiMammal.0321.5Sqm.Up.2","Pimephales promelas",4914
"118","MiMammal.0321.5Sqm.Up.2","Sus scrofa",1872
"119","MiMammal.0321.5Sqm.Up.3","Branta canadensis",337
"120","MiMammal.0321.5Sqm.Up.3","Canis lupus",407
"121","MiMammal.0321.5Sqm.Up.3","Oncorhynchus clarkii",612
"122","MiMammal.0321.5Sqm.Up.3","Oncorhynchus mykiss",32
"123","MiMammal.0321.5Sqm.Up.3","Pimephales promelas",230
"124","MiMammal.0421.1Prt.Dn.1","Felis catus",1131
"125","MiMammal.0421.1Prt.Dn.1","Lampetra sp. CBM:ZF:17561",10
