"","Sample_name","species","tot"
"93","MiFish.0321.5Sqm.Dn.2","Oncorhynchus mykiss",588
"94","MiFish.0321.5Sqm.Dn.2","Pimephales promelas",12081
"95","MiFish.0321.5Sqm.Dn.2","Turdus migratorius",142
"96","MiFish.0321.5Sqm.Dn.3","",515
"97","MiFish.0321.5Sqm.Dn.3","Ameiurus nebulosus",8861
"98","MiFish.0321.5Sqm.Dn.3","Oncorhynchus clarkii",90754
"99","MiFish.0321.5Sqm.Dn.3","Oncorhynchus mykiss",6213
"100","MiFish.0321.5Sqm.Dn.3","Pimephales promelas",45535
"101","MiFish.0321.5Sqm.Up.1","",583
"102","MiFish.0321.5Sqm.Up.1","Ameiurus nebulosus",1377
"103","MiFish.0321.5Sqm.Up.1","Oncorhynchus clarkii",39434
"104","MiFish.0321.5Sqm.Up.1","Oncorhynchus mykiss",8749
"105","MiFish.0321.5Sqm.Up.1","Pimephales promelas",71573
"106","MiFish.0321.5Sqm.Up.2","",802
"107","MiFish.0321.5Sqm.Up.2","Lampetra sp. CBM:ZF:17561",87
"108","MiFish.0321.5Sqm.Up.2","Oncorhynchus clarkii",14271
"109","MiFish.0321.5Sqm.Up.2","Oncorhynchus kisutch",2093
"110","MiFish.0321.5Sqm.Up.2","Oncorhynchus mykiss",496
"111","MiFish.0321.5Sqm.Up.2","Pimephales promelas",7562
"112","MiFish.0321.5Sqm.Up.2","Turdus migratorius",225
"113","MiFish.0321.5Sqm.Up.3","",1113
"114","MiFish.0321.5Sqm.Up.3","Ameiurus nebulosus",790
"115","MiFish.0321.5Sqm.Up.3","Oncorhynchus clarkii",25063
"116","MiFish.0321.5Sqm.Up.3","Oncorhynchus kisutch",697
"117","MiFish.0321.5Sqm.Up.3","Pimephales promelas",8083
"118","MiFish.0421.1Prt.Dn.1","",8046
"119","MiFish.0421.1Prt.Dn.1","Oncorhynchus clarkii",30903
"120","MiFish.0421.1Prt.Dn.1","Oncorhynchus kisutch",20450
"121","MiFish.0421.1Prt.Dn.1","Turdus migratorius",3723
"122","MiFish.0421.1Prt.Dn.2","Oncorhynchus clarkii",3827
"123","MiFish.0421.1Prt.Dn.2","Oncorhynchus kisutch",4196
"124","MiFish.0421.1Prt.Dn.3","",897
"125","MiFish.0421.1Prt.Dn.3","Aix sponsa",11
"126","MiFish.0421.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",21512
"127","MiFish.0421.1Prt.Dn.3","Oncorhynchus clarkii",52476
"128","MiFish.0421.1Prt.Dn.3","Oncorhynchus kisutch",57273
"129","MiFish.0421.1Prt.Dn.3","Turdus migratorius",845
"130","MiFish.0421.1Prt.Up.1","",1096
"131","MiFish.0421.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",1154
"132","MiFish.0421.1Prt.Up.1","Oncorhynchus clarkii",12483
"133","MiFish.0421.1Prt.Up.1","Oncorhynchus kisutch",12885
"134","MiFish.0421.1Prt.Up.2","",2127
"135","MiFish.0421.1Prt.Up.2","Aix sponsa",27
"136","MiFish.0421.1Prt.Up.2","Lampetra sp. CBM:ZF:17561",9717
"137","MiFish.0421.1Prt.Up.2","Melospiza melodia",32
"138","MiFish.0421.1Prt.Up.2","Oncorhynchus clarkii",36453
"139","MiFish.0421.1Prt.Up.2","Oncorhynchus kisutch",32605
"140","MiFish.0421.1Prt.Up.3","",3032
"141","MiFish.0421.1Prt.Up.3","Lampetra sp. CBM:ZF:17561",2403
"142","MiFish.0421.1Prt.Up.3","Oncorhynchus clarkii",17980
"143","MiFish.0421.1Prt.Up.3","Oncorhynchus kisutch",13231
"144","MiFish.0421.2Brn.Dn.1","",3372
"145","MiFish.0421.2Brn.Dn.1","Oncorhynchus clarkii",3859
"146","MiFish.0421.2Brn.Dn.1","Oncorhynchus kisutch",14042
"147","MiFish.0421.2Brn.Dn.2","",5190
"148","MiFish.0421.2Brn.Dn.2","Canis lupus",7
"149","MiFish.0421.2Brn.Dn.2","Oncorhynchus clarkii",24447
"150","MiFish.0421.2Brn.Dn.3","Oncorhynchus clarkii",37921
"151","MiFish.0421.2Brn.Dn.3","Oncorhynchus kisutch",27370
"152","MiFish.0421.2Brn.Up.1","Turdus migratorius",931
"153","MiFish.0421.3Chk.Dn.1","",7159
"154","MiFish.0421.3Chk.Dn.1","Oncorhynchus clarkii",88741
"155","MiFish.0421.3Chk.Dn.2","",16897
"156","MiFish.0421.3Chk.Dn.2","Oncorhynchus clarkii",75608
"157","MiFish.0421.3Chk.Dn.3","",152
"158","MiFish.0421.3Chk.Dn.3","Oncorhynchus clarkii",1953
"159","MiFish.0421.3Chk.Dn.3","Turdus migratorius",14
"160","MiFish.0421.3Chk.Dn.3TR2","",389
"161","MiFish.0421.3Chk.Dn.3TR2","Oncorhynchus clarkii",22611
"162","MiFish.0421.3Chk.Dn.3TR2","Turdus migratorius",591
"163","MiFish.0421.3Chk.Dn.3TR3","",508
"164","MiFish.0421.3Chk.Dn.3TR3","Oncorhynchus clarkii",16698
"165","MiFish.0421.3Chk.Dn.3TR3","Turdus migratorius",295
"166","MiFish.0421.3Chk.Up.1","",4277
"167","MiFish.0421.3Chk.Up.1","Didelphis virginiana",6
"168","MiFish.0421.3Chk.Up.1","Oncorhynchus clarkii",108602
"169","MiFish.0421.3Chk.Up.2","",15914
"170","MiFish.0421.3Chk.Up.2","Didelphis virginiana",22
"171","MiFish.0421.3Chk.Up.2","Oncorhynchus clarkii",22619
"172","MiFish.0421.3Chk.Up.2","Turdus migratorius",1775
"173","MiFish.0421.3Chk.Up.3","",5902
"174","MiFish.0421.3Chk.Up.3","Oncorhynchus clarkii",22033
"175","MiFish.0421.4Pad.Dn.1","",2314
"176","MiFish.0421.4Pad.Dn.1","Oncorhynchus clarkii",4780
"177","MiFish.0421.4Pad.Dn.1","Oncorhynchus kisutch",578
"178","MiFish.0421.4Pad.Dn.1","Oncorhynchus mykiss",3060
"179","MiFish.0421.4Pad.Dn.1","Perca flavescens",7554
"180","MiFish.0421.4Pad.Dn.1","Turdus migratorius",86
"181","MiFish.0421.4Pad.Dn.2","",10736
"182","MiFish.0421.4Pad.Dn.2","Oncorhynchus clarkii",5455
"183","MiFish.0421.4Pad.Dn.2","Oncorhynchus keta",122
"184","MiFish.0421.4Pad.Dn.2","Oncorhynchus kisutch",3075
"185","MiFish.0421.4Pad.Dn.2","Oncorhynchus mykiss",6459
"186","MiFish.0421.4Pad.Dn.2","Perca flavescens",5526
"187","MiFish.0421.4Pad.Dn.2","Regulus calendula",309
"188","MiFish.0421.4Pad.Dn.3","",22339
"189","MiFish.0421.4Pad.Dn.3","Canis lupus",59
"190","MiFish.0421.4Pad.Dn.3","Oncorhynchus clarkii",6400
"191","MiFish.0421.4Pad.Dn.3","Oncorhynchus keta",1214
"192","MiFish.0421.4Pad.Dn.3","Oncorhynchus kisutch",3366
"193","MiFish.0421.4Pad.Dn.3","Oncorhynchus mykiss",6414
"194","MiFish.0421.4Pad.Dn.3","Perca flavescens",11346
"195","MiFish.0421.4Pad.Up11.1","",20900
"196","MiFish.0421.4Pad.Up11.1","Canis lupus",6
"197","MiFish.0421.4Pad.Up11.1","Oncorhynchus clarkii",3267
"198","MiFish.0421.4Pad.Up11.1","Oncorhynchus kisutch",494
"199","MiFish.0421.4Pad.Up11.1","Oncorhynchus mykiss",9507
"200","MiFish.0421.4Pad.Up11.1","Perca flavescens",7039
"201","MiFish.0421.4Pad.Up11.2","",67701
"202","MiFish.0421.4Pad.Up11.2","Oncorhynchus clarkii",9135
"203","MiFish.0421.4Pad.Up11.2","Oncorhynchus kisutch",1551
"204","MiFish.0421.4Pad.Up11.2","Oncorhynchus mykiss",4984
"205","MiFish.0421.4Pad.Up11.2","Perca flavescens",30919
"206","MiFish.0421.4Pad.Up11.2","Turdus migratorius",2376
"207","MiFish.0421.4Pad.Up11.3","",6544
"208","MiFish.0421.4Pad.Up11.3","Oncorhynchus clarkii",753
"209","MiFish.0421.4Pad.Up11.3","Oncorhynchus mykiss",5463
"210","MiFish.0421.4Pad.Up11.3","Perca flavescens",5264
"211","MiFish.0421.4Pad.Up11.3","Turdus migratorius",62
"212","MiFish.0421.4Pad.Up5.1","",30376
"213","MiFish.0421.4Pad.Up5.1","Canis lupus",47
"214","MiFish.0421.4Pad.Up5.1","Oncorhynchus clarkii",5553
"215","MiFish.0421.4Pad.Up5.1","Oncorhynchus mykiss",9377
"216","MiFish.0421.4Pad.Up5.1","Perca flavescens",45626
"217","MiFish.0421.4Pad.Up5.1","Sus scrofa",225
"218","MiFish.0421.4Pad.Up5.2","",53710
"219","MiFish.0421.4Pad.Up5.2","Canis lupus",7
"220","MiFish.0421.4Pad.Up5.2","Neurotrichus gibbsii",689
"221","MiFish.0421.4Pad.Up5.2","Oncorhynchus clarkii",11385
"222","MiFish.0421.4Pad.Up5.2","Oncorhynchus mykiss",2152
"223","MiFish.0421.4Pad.Up5.2","Perca flavescens",53029
"224","MiFish.0421.4Pad.Up5.3","",27105
"225","MiFish.0421.4Pad.Up5.3","Oncorhynchus clarkii",1894
"226","MiFish.0421.4Pad.Up5.3","Oncorhynchus mykiss",7080
"227","MiFish.0421.4Pad.Up5.3","Perca flavescens",17965
"228","MiFish.0421.5Sqm.Dn.1","",23
"229","MiFish.0421.5Sqm.Dn.1","Ameiurus nebulosus",2146
"230","MiFish.0421.5Sqm.Dn.1","Lampetra sp. CBM:ZF:17561",573
"231","MiFish.0421.5Sqm.Dn.1","Oncorhynchus clarkii",18386
"232","MiFish.0421.5Sqm.Dn.1","Oncorhynchus kisutch",713
"233","MiFish.0421.5Sqm.Dn.1","Oncorhynchus mykiss",644
"234","MiFish.0421.5Sqm.Dn.1","Pimephales promelas",18629
"235","MiFish.0421.5Sqm.Dn.1","Turdus migratorius",75
"236","MiFish.0421.5Sqm.Dn.2","",1354
"237","MiFish.0421.5Sqm.Dn.2","Ameiurus nebulosus",5543
"238","MiFish.0421.5Sqm.Dn.2","Lampetra sp. CBM:ZF:17561",164
"239","MiFish.0421.5Sqm.Dn.2","Oncorhynchus clarkii",54116
"240","MiFish.0421.5Sqm.Dn.2","Oncorhynchus kisutch",5577
"241","MiFish.0421.5Sqm.Dn.2","Pimephales promelas",50907
"242","MiFish.0421.5Sqm.Dn.3","",204
"243","MiFish.0421.5Sqm.Dn.3","Ameiurus nebulosus",4227
"244","MiFish.0421.5Sqm.Dn.3","Lampetra sp. CBM:ZF:17561",20
"245","MiFish.0421.5Sqm.Dn.3","Oncorhynchus clarkii",41486
"246","MiFish.0421.5Sqm.Dn.3","Oncorhynchus kisutch",2698
"247","MiFish.0421.5Sqm.Dn.3","Oncorhynchus mykiss",1252
"248","MiFish.0421.5Sqm.Dn.3","Pimephales promelas",48495
"249","MiFish.0421.5Sqm.Dn.3","Turdus migratorius",22
