"Sample_name","class","species","tot"
"MiFish.0321.5Sqm.Dn.3","Actinopteri","Pimephales promelas",45535
"MiFish.0321.5Sqm.Up.1","Actinopteri","Ameiurus nebulosus",1377
"MiFish.0321.5Sqm.Up.1","Actinopteri","Oncorhynchus clarkii",39434
"MiFish.0321.5Sqm.Up.1","Actinopteri","Oncorhynchus mykiss",8749
"MiFish.0321.5Sqm.Up.1","Actinopteri","Pimephales promelas",71573
"MiFish.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus clarkii",14271
"MiFish.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus kisutch",2093
"MiFish.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus mykiss",496
"MiFish.0321.5Sqm.Up.2","Actinopteri","Pimephales promelas",7562
"MiFish.0321.5Sqm.Up.2","Aves","Turdus migratorius",225
"MiFish.0321.5Sqm.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",87
"MiFish.0321.5Sqm.Up.3","Actinopteri","Ameiurus nebulosus",790
"MiFish.0321.5Sqm.Up.3","Actinopteri","Oncorhynchus clarkii",25063
"MiFish.0321.5Sqm.Up.3","Actinopteri","Oncorhynchus kisutch",697
"MiFish.0321.5Sqm.Up.3","Actinopteri","Pimephales promelas",8083
"MiFish.0421.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",30903
"MiFish.0421.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",20450
"MiFish.0421.1Prt.Dn.1","Aves","Turdus migratorius",3723
"MiFish.0421.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",3827
"MiFish.0421.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",4196
"MiFish.0421.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",52476
"MiFish.0421.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",57273
"MiFish.0421.1Prt.Dn.3","Aves","Aix sponsa",11
"MiFish.0421.1Prt.Dn.3","Aves","Turdus migratorius",845
"MiFish.0421.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",21512
"MiFish.0421.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",12483
"MiFish.0421.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",12885
"MiFish.0421.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",1154
"MiFish.0421.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",36453
"MiFish.0421.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",32605
"MiFish.0421.1Prt.Up.2","Aves","Aix sponsa",27
"MiFish.0421.1Prt.Up.2","Aves","Melospiza melodia",32
"MiFish.0421.1Prt.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",9717
"MiFish.0421.1Prt.Up.3","Actinopteri","Oncorhynchus clarkii",17980
"MiFish.0421.1Prt.Up.3","Actinopteri","Oncorhynchus kisutch",13231
"MiFish.0421.1Prt.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",2403
"MiFish.0421.2Brn.Dn.1","Actinopteri","Oncorhynchus clarkii",3859
"MiFish.0421.2Brn.Dn.1","Actinopteri","Oncorhynchus kisutch",14042
"MiFish.0421.2Brn.Dn.2","Actinopteri","Oncorhynchus clarkii",24447
"MiFish.0421.2Brn.Dn.2","Mammalia","Canis lupus",7
"MiFish.0421.2Brn.Dn.3","Actinopteri","Oncorhynchus clarkii",37921
"MiFish.0421.2Brn.Dn.3","Actinopteri","Oncorhynchus kisutch",27370
"MiFish.0421.2Brn.Up.1","Aves","Turdus migratorius",931
"MiFish.0421.3Chk.Dn.1","Actinopteri","Oncorhynchus clarkii",88741
"MiFish.0421.3Chk.Dn.2","Actinopteri","Oncorhynchus clarkii",75608
"MiFish.0421.3Chk.Dn.3","Actinopteri","Oncorhynchus clarkii",1953
