"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"64","70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Aythya",NA,"Aythya"
"65","4bf5a7c2b063ba8c585da4aebeebef3bdfe01187","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"66","d4683cfa7b706bd5b9cc7191b45dc1721a7e6bf6","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii"
"67","2b0c39077f06327b7e2754fe64381e2b2d57e560","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas"
"68","42bfad7118600bcb5e32197d62d315f8c630b47f","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"69","6d408eeb7f32a8582891ca4bd67094577495e45e","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus"
"70","bb8fc41559d046a28c66d8f462ad199b5175a3dc","species","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor","Procyon lotor"
"71","1c723be7c521b836ac10a356b5c7d6fb3f903278","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"72","a56780f0ba3e80909339560fef5491f720c32902","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"73","2b1ec1d5d174ca843ca0204c4278026685733793","family","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae"
"74","5d033a6112f231fd3f8991741e0f04f193517321","family","Metazoa","Chordata","Aves","Passeriformes","Parulidae",NA,NA,"Parulidae"
"75","811386408228b1a3ecb09a8ca20a8e1fa0079733","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus"
"76","8b376473d90c35aeeb560579b333dafb7c3383e8","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus"
"77","718e4496abb042983be42da7ec4f981a95e3cac4","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"78","afb6e29d578074f7a4ffe420bed62b2babbaa2c1","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia"
"79","3bc98c2fc6c2bac1037fbc2452824d9524bff3ed","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"80","2cfff9ce7e2ea0339b4273bb3e699ff610799cc6","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus"
"81","7cb1f8f9f7d2179d9283ea8595c40a3a1936b63b","family","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae"
