Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
34,Ac16S,183722,175508,175224,175464,171898,171898,154762
35,Ac16S,183322,173770,173518,173240,169907,169907,126326
36,Ac16S,183965,175358,175273,175340,172464,172464,142352
37,Ac16S,171973,164558,164431,164197,161254,161254,138698
38,Ac16S,186700,179043,178344,178051,173344,173344,172054
39,Ac16S,169829,162645,162489,162147,159606,159606,148658
40,Ac16S,173385,164779,164108,164515,159732,159732,112276
41,Ac16S,185534,175785,175352,175665,172587,172587,135045
42,Ac16S,167393,158380,157914,158257,153968,153968,127817
43,Ac16S,147445,139572,139419,139092,136211,136211,107853
44,Ac16S,17517,16441,16391,16431,16049,16049,13665
45,Ac16S,173226,164735,163788,164548,159510,159510,123614
46,Ac16S,191966,183357,183348,183331,181722,181722,171220
47,Ac16S,207018,197238,196734,197235,193307,193307,193265
48,Ac16S,198755,188653,188603,188550,184958,184958,179639
49,Ac16S,155522,148428,148277,148421,147169,147169,139422
50,Ac16S,163877,156450,156053,156444,155397,155397,155021
51,Ac16S,200653,191675,191545,191642,190343,190343,172576
