Sample_name,Locus,file1,file2
34,Ac16S,Locus_Ac16S_34_S34_L001_R1_001.fastq,Locus_Ac16S_34_S34_L001_R2_001.fastq
35,Ac16S,Locus_Ac16S_35_S35_L001_R1_001.fastq,Locus_Ac16S_35_S35_L001_R2_001.fastq
36,Ac16S,Locus_Ac16S_36_S36_L001_R1_001.fastq,Locus_Ac16S_36_S36_L001_R2_001.fastq
37,Ac16S,Locus_Ac16S_37_S37_L001_R1_001.fastq,Locus_Ac16S_37_S37_L001_R2_001.fastq
38,Ac16S,Locus_Ac16S_38_S38_L001_R1_001.fastq,Locus_Ac16S_38_S38_L001_R2_001.fastq
39,Ac16S,Locus_Ac16S_39_S39_L001_R1_001.fastq,Locus_Ac16S_39_S39_L001_R2_001.fastq
40,Ac16S,Locus_Ac16S_40_S40_L001_R1_001.fastq,Locus_Ac16S_40_S40_L001_R2_001.fastq
41,Ac16S,Locus_Ac16S_41_S41_L001_R1_001.fastq,Locus_Ac16S_41_S41_L001_R2_001.fastq
42,Ac16S,Locus_Ac16S_42_S42_L001_R1_001.fastq,Locus_Ac16S_42_S42_L001_R2_001.fastq
43,Ac16S,Locus_Ac16S_43_S43_L001_R1_001.fastq,Locus_Ac16S_43_S43_L001_R2_001.fastq
44,Ac16S,Locus_Ac16S_44_S44_L001_R1_001.fastq,Locus_Ac16S_44_S44_L001_R2_001.fastq
45,Ac16S,Locus_Ac16S_45_S45_L001_R1_001.fastq,Locus_Ac16S_45_S45_L001_R2_001.fastq
46,Ac16S,Locus_Ac16S_46_S46_L001_R1_001.fastq,Locus_Ac16S_46_S46_L001_R2_001.fastq
47,Ac16S,Locus_Ac16S_47_S47_L001_R1_001.fastq,Locus_Ac16S_47_S47_L001_R2_001.fastq
48,Ac16S,Locus_Ac16S_48_S48_L001_R1_001.fastq,Locus_Ac16S_48_S48_L001_R2_001.fastq
49,Ac16S,Locus_Ac16S_49_S49_L001_R1_001.fastq,Locus_Ac16S_49_S49_L001_R2_001.fastq
50,Ac16S,Locus_Ac16S_50_S50_L001_R1_001.fastq,Locus_Ac16S_50_S50_L001_R2_001.fastq
51,Ac16S,Locus_Ac16S_51_S51_L001_R1_001.fastq,Locus_Ac16S_51_S51_L001_R2_001.fastq
