"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"8ade38d6c1396cc32395e6773d53ae373734314c","  61384","Lynx rufus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"30742d31b3cc7a387b96133d0998ecee07c83597","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"7aa929fd12fc38856e105d3092ae8752af4b44da","   9321","Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"e3bb86462242cc75b2d9159e96f588a2ca09a5d3","  10114","Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","  39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"76918abfaa90d218d683fdbc4f8024dd430d7d91","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"4d599bf71d8ba588d94d18e520b7f12419c17cd6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","  69292","Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"334d14d4c60937f5fd35b2803afc9d66a7408620","   8295","Ambystoma","genus","0.9997","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab","   9823","Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"cf62a26ab8c1b5312a68133cb90988e0b24ee387","   9612","Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"052d18a1a6f40077add20bb33ad60dfadcfb86fb","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"cb0cf229832374ff8f4ce89c20348a90da9c04e1","  90988","Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"deaadc11b0189c975741718d011ab0f6897f6066","  10114","Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","2012981","Lampetra sp. CBM:ZF:17561","species",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra sp. CBM:ZF:17561"
"8005d06b5717f047aac5d6ee7238b50bd1f9a895","   8867","Cygnus","genus",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Cygnus",""
"1a50e3486cdc5423f8b831ff444cf54e91042554"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"358d0def35bc8bcf2711011fb63f7fc511496cc5","1437010","Boreoeutheria","clade","0.9999","Metazoa","Chordata","Mammalia","","","",""
"f49ae8c6819abdfd33d13f2b07c6fcbbc25ee4f0"," 338152","Felinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"e3326d78fc42729ea464440aa62ec3ce02bd2829","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"29c5193eb0e4e364b7127ff7590e8eb751d24740"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"d15e926efd8720231adb32a8b4e6e40608827676","  27778","Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"ddf5d8f01c176ab003be35dd8935dab512bf36c1","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"5d6a5f2116231e5e92600d866977dda093cd30bc"," 182674","Scapanus orarius","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus","Scapanus orarius"
"1d9c79934127687c5695d31ec87c6e1a8762723d","   9979","Leporidae","family","1.0000","Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","",""
"418d5ed20b679f800b258f567825c92d012bc96e"," 175121","Passeroidea","superfamily","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"6f74ea5d6a7d9a8f2d3fc543c6652a3c85e75e3d","  38609","Diprotodontia","order","1.0000","Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"07122a09e420f0d98cd3019bb7a8f3da9909e375"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"e9641671a85dc5e33d0d65806d441032b1375e9b","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
