"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","b58374d8618538313e00e15d8290f4c594d71fda","genus","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia",NA,"Puccinia","consensus","consensus"
"2","9e4fc567503b99e7b4fe2492eb6176cc07da4084","genus","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia",NA,"Puccinia","consensus","consensus"
"3","fc6ee11d11445b305b9690989b7ced309a9b2fb7","genus","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia",NA,"Puccinia","consensus","consensus"
"4","a611500e4a123b1f044bb8d5acdd9f2b557f27d8","genus","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia",NA,"Puccinia","consensus","consensus"
