Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiMammal.0321.2Brn.Dn.3,MiMammal,167109,138785,138605,138708,132060,132060,131807
MiMammal.0321.4Pad.Dn.2,MiMammal,228020,199477,199064,199076,188820,188820,187194
MiMammal.0321.2Brn.Up.1,MiMammal,124401,113156,112930,113149,112862,112862,112828
MiMammal.0321.4Pad.Up11.2,MiMammal,115519,85433,85263,85325,74631,74631,74588
MiMammal.0321.5Sqm.Dn.2,MiMammal,202146,180348,180300,180228,179418,179418,178964
MiMammal.0321.5Sqm.Up.3,MiMammal,167619,148258,148131,148137,144638,144638,144462
MiMammal.0421.1Prt.Dn.1,MiMammal,186291,163168,162972,163152,161085,161085,160872
MiMammal.0421.1Prt.Dn.2,MiMammal,175538,155253,154896,155224,152648,152648,152528
MiMammal.0421.1Prt.Up.3,MiMammal,115673,98920,98885,98854,96092,96092,95933
MiMammal.0421.2Brn.Dn.1,MiMammal,180901,153435,153379,153261,137286,137286,137068
MiMammal.0421.2Brn.Up.1,MiMammal,149913,125953,125812,125509,96733,96733,96092
MiMammal.0421.3Chk.Dn.3,MiMammal,151921,129196,129110,129087,126186,126186,125546
MiMammal.0421.4Pad.Dn.1,MiMammal,158196,136060,135969,135990,125399,125399,107096
MiMammal.0421.4Pad.Dn.3,MiMammal,146231,120856,120814,120818,118719,118719,117817
MiMammal.0421.5Sqm.Dn.1,MiMammal,158030,137908,137881,137875,137605,137605,137304
MiMammal.0821.1Prt.Up.3,MiMammal,163082,145688,145614,145662,144920,144920,144820
MiMammal.0821.2Brn.Up.2,MiMammal,162177,140012,139867,139819,138982,138982,138313
MiMammal.0821.3Chk.Up.1,MiMammal,155932,130970,130880,130821,128742,128742,128224
MiMammal.0821.4Pad.Dn.1,MiMammal,114517,90760,90547,90687,60810,60810,58863
MiMammal.0821.4Pad.Up11.1,MiMammal,107003,89065,88873,89011,87426,87426,86356
MiMammal.0821.4Pad.Up5.1,MiMammal,133574,109156,108459,109080,92873,92873,91395
MiMammal.0821.5Sqm.Dn.1,MiMammal,143226,122627,122250,122607,120289,120289,119804
MiMammal.0821.5Sqm.Up.2,MiMammal,159467,132734,132680,132685,131522,131522,120937
MiMammal.0821.Kangaroo,MiMammal,197077,178700,178604,178523,178158,178158,176647
MiMammal.0321.1Prt.Up.1,MiMammal,153138,135041,134921,135021,129850,129850,129579
MiMammal.0321.2Brn.Dn.2,MiMammal,121821,104764,104714,104690,90362,90362,89800
