"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"31","ab3f64008f486f949863ab437f6faf80fe6122bd","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"32","04453c3040ce82aaca6043ca1a6d993d8969c57a","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"33","16828c3eaf1d6ca283d31978459012946ce70282","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"34","c10fbabb79c88c5c425a77edce1bfd89a1a0467d","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"35","9e3a0a5b7710ebab13a32f872612b52ee9cc7189","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"36","8501f9593ffcab22928e6c1b0e1b4615b893d40f","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"37","0d544c749d826989c6da7369f430b40446c205ed","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"38","28bf9cae312cbcd0267ecf60efec2777628fa56a","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"39","f7779153b9ba86f7fafa2bf8562663545ac3fdc5","species","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetradesmus","Tetradesmus obliquus","Tetradesmus obliquus","consensus","consensus"
"40","857222fec77277cf064d7681d8a91b22a6e3c8a5","species","Metazoa","Rotifera","Eurotatoria","Ploima","Brachionidae","Keratella","Keratella cochlearis","Keratella cochlearis","consensus","consensus"
"41","df6c71dfe996085b8286dcd4e0b9167f6a26cdeb","species","Metazoa",NA,NA,NA,NA,NA,"invertebrate environmental sample","invertebrate environmental sample","consensus","consensus"
"42","5c026bc4d86869a5f740acd9ddf38934be1b4b80","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"43","da35af478a286721972faba4689313d27869f096","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"44","75b03bb65fe90ae551fdc8b728b6f655bbb947f7","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"45","84cddcd0725a819dcfa0d660d2eed544605d9d1a","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
