"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","8ade38d6c1396cc32395e6773d53ae373734314c",61384,"Lynx rufus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"2","82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f",8023,"Oncorhynchus nerka","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"3","adcd4ea08761f730aa3535c79e5680b7c22f6116",9612,"Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
