,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2,MiFish.0321.1Prt.Dn.1,MiFish.0321.1Prt.Up.2,MiFish.0321.2Brn.Dn.1,MiFish.0321.2Brn.Up.1,MiFish.0321.2Brn.Up.2,MiFish.0321.2Brn.Up.3,MiFish.0321.4Pad.Dn.1,MiFish.0321.5Sqm.Up.2,MiFish.0321.1Prt.Dn.1TR2,MiFish.0321.1Prt.Dn.1TR3,MiFish.0421.1Prt.Dn.2,MiFish.0421.3Chk.Dn.3,MiFish.0421.4Pad.Dn.1,MiFish.0421.4Pad.Up11.3,MiFish.0421.5Sqm.Up.1,MiFish.0421.3Chk.Dn.3TR2,MiFish.0421.3Chk.Dn.3TR3,MiFish.0821.1Prt.Dn.1,MiFish.0821.1Prt.Up.1,MiFish.0821.2Brn.Up.2,MiFish.0821.3Chk.Dn.2,MiFish.0821.4Pad.Dn.2,MiFish.0821.4Pad.Up11.3,MiFish.0821.4Pad.Up5.3,MiFish.0821.5Sqm.Dn.2,MiFish.Kangaroo.Run.3,MiFish.0321.1Prt.Dn.3,MiFish.0321.1Prt.Up.3,MiFish.0321.2Brn.Dn.2,MiFish.0321.3Chk.Dn.2,MiFish.0321.3Chk.Up.1,MiFish.0321.3Chk.Up.3,MiFish.0321.4Pad.Up11.2,MiFish.0321.5Sqm.Dn.1,MiFish.0321.5Sqm.Dn.2,MiFish.0321.5Sqm.Up.3,MiFish.0421.1Prt.Up.1,MiFish.0421.1Prt.Up.2,MiFish.0421.1Prt.Up.3,MiFish.0421.2Brn.Dn.1,MiFish.0421.2Brn.Up.1,MiFish.0421.3Chk.Up.2,MiFish.0421.3Chk.Up.3,MiFish.0421.4Pad.Dn.2,MiFish.0421.4Pad.Dn.3,MiFish.0421.4Pad.Up11.1,MiFish.0421.4Pad.Up5.3,MiFish.0421.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.1,MiFish.0821.2Brn.Dn.3,MiFish.0821.3Chk.Dn.1,MiFish.0821.3Chk.Dn.3,MiFish.0821.3Chk.Up.2,MiFish.0821.3Chk.Up.3,MiFish.0821.4Pad.Dn.3,MiFish.0821.4Pad.Up11.1,MiFish.0821.4Pad.Up11.2,MiFish.0821.4Pad.Up5.1,MiFish.0821.4Pad.Up5.2,MiFish.0821.5Sqm.Dn.3,MiFish.0821.5Sqm.Up.1,MiFish.0821.5Sqm.Up.2,MiFish.0821.5Sqm.Up.3
Turdus migratorius;94b310b913e0d26c0720e1775a3f2a7f2dd6af18,0,0,0,0,0,112,304,0,244,0,0,0,0,0,2088,486,0,0,0,0,0,0,1287,0,0,0,10,0,26,0,75,2269,0,0,0,2520,5,0,92,0,0,0,0,0,0,0,0,0,794,225,0,0,0,14,86,62,38,591,295,41,265,188,0,0,61,0,85,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,931,1775,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,28,200,155,161
Canis;5dbce0075732b37e517721c275ba3c2e14e50196,0,0,0,0,0,194,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perca flavescens;e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,0,0,0,0,0,0,1125,2,0,484,17,0,0,0,0,0,0,0,0,0,0,0,13863,23002,27806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7554,5264,0,0,0,0,0,0,0,0,0,949,0,0,0,0,0,930,0,0,5744,0,0,0,0,0,0,0,0,0,0,5526,11346,7039,17965,0,0,0,0,0,0,0,0,0,0,1612,0,0,0,0,0
Neognathae;bd2f7a173fd3c733d5234b14bff67d4c2dd58316,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;185824f7d4a43613756c10e1eb0fc14203c5fb2a,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus mykiss;de42666eb0e70e73c99b1061e5e4bfe4477204b5,0,0,0,0,0,0,0,0,0,460,0,0,2763,3432,0,0,0,0,0,0,0,0,1596,4702,1161,0,705,2193,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,496,0,0,0,0,2422,4058,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,367,0,588,0,0,0,0,0,0,0,0,2956,3390,7325,5884,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procyon;8001433422f2dfb9b7333084b5ae4a31130f34f2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambystoma;0af50c9e935876232e242db91bb835235691bf3a,0,0,0,0,0,0,0,0,0,0,0,0,332,42,4786,100,0,0,0,4846,0,0,0,0,0,726,0,0,0,8,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,323,0,200,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,876,1812,2989,2802,0,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambystoma;31f58f5089fdc196a53e11198d538061dd41bb97,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,459,8248,1538,0,0,0,0,0,362,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,974,0,0,0,0,0,10974,1357,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilateria;c6d586dc78d8ef5cac238cba2d5714407775bd69,0,0,0,0,0,0,0,0,0,0,0,0,2566,98,0,64,0,0,0,0,0,0,0,0,0,614,87,314,725,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,218,0,0,0,0,0,0,173,0,0,17,0,0,45,0,172,0,0,0,0,0,0,0,0,0,0,636,267,891,0,0,0,0,0,0,0,96,0,0,0,518,0,0,0,0,0,0,0,222,64,0,0,0,0,0,0
