Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI-0921-1Prt-Dn-1,COI,221406,182098,178799,178940,173862,173862,173203
COI-0921-1Prt-Dn-2,COI,148677,124204,122063,122163,118900,118900,118664
COI-0921-1Prt-Up-1,COI,173072,143320,139132,139075,134060,134060,132823
COI-0921-1Prt-Up-2,COI,209027,174707,170659,170869,165188,165188,164082
COI-0921-2Brn-Dn-1,COI,219698,182377,177738,177953,171709,171709,169636
COI-0921-2Brn-Dn-2,COI,158897,129873,124043,125092,118477,118477,117197
COI-0921-2Brn-Up-1,COI,132107,108578,103942,104250,98974,98974,98596
COI-0921-3Chk-Dn-1,COI,147489,120785,115917,115841,110735,110735,109126
COI-0921-3Chk-Up-2,COI,177147,143870,135714,136636,128472,128472,126163
COI-0921-4Pad-Dn-2,COI,174174,146130,139726,140123,133843,133843,132336
COI-0921-4Pad-Up11-1,COI,155436,129123,128516,128583,127120,127120,127021
COI-0921-4Pad-Up11-2,COI,185785,156074,149760,150005,143078,143078,141853
COI-0921-4Pad-Up11-3,COI,138126,114840,110820,110406,106863,106863,106716
COI-0921-4Pad-Up5-2,COI,148456,127766,122827,123675,118598,118598,116372
COI-0921-4Pad-Up5-3,COI,155400,133616,131634,131535,129053,129053,128182
COI-0921-5Sqm-Dn-3,COI,204545,161706,160971,161048,158773,158773,153709
COI-1021-1Prt-Up-2,COI,185176,159900,157016,156943,152735,152735,151866
COI-1021-1Prt-Up-3,COI,163003,136150,132838,133036,128032,128032,127515
COI-1021-2Brn-Dn-3,COI,183091,153803,148181,148622,141552,141552,140230
COI-1021-3Chk-Up-2,COI,161631,140462,134228,135169,127315,127315,124464
COI-1021-3Chk-Up-3,COI,185322,158751,152509,153290,144742,144742,141423
COI-1021-4Pad-Up11-1,COI,158482,138228,134559,135008,130801,130801,129131
COI-1021-4Pad-Up5-1,COI,151747,134944,130436,130684,126271,126271,124043
COI-1021-4Pad-Up5-3,COI,154938,135691,134109,134380,132045,132045,130984
COI-1021-5Sqm-Dn-3,COI,171343,149108,142723,143775,136415,136415,133818
COI-1021-5Sqm-Up-1,COI,151826,131110,123886,124821,116627,116627,113736
COI-1021-5Sqm-Up-3,COI,169841,147047,140194,141683,132945,132945,128243
COI-1121-1Prt-Dn-1,COI,176408,151809,147942,147617,142739,142739,141530
COI-1121-1Prt-Up-3,COI,154677,136259,130646,130833,125150,125150,123041
COI-1121-2Brn-Dn-3,COI,159417,138941,135219,135485,130352,130352,126594
COI-1121-2Brn-Up-1,COI,172549,147609,141799,142614,134626,134626,127716
COI-1121-3Chk-Dn-1,COI,172302,148142,139015,140051,129072,129072,124951
COI-1121-3Chk-Dn-3,COI,170715,148532,139685,141027,130566,130566,126746
COI-1121-3Chk-Up-1,COI,167066,142213,136651,137249,130335,130335,129199
COI-1121-3Chk-Up-2,COI,165906,144292,135279,136651,126131,126131,121876
COI-1121-3Chk-Up-3,COI,190958,165291,154739,156658,143107,143107,136474
COI-1121-4Pad-Dn-2,COI,145096,118601,110397,112452,102451,102451,102100
COI-1121-4Pad-Up11-1,COI,164308,140632,134026,134704,128936,128936,126721
COI-1121-4Pad-Up11-2,COI,155571,131705,123719,124927,117728,117728,116309
COI-1121-4Pad-Up11-3,COI,157335,133367,126500,127262,121071,121071,118958
COI-1121-5Sqm-Dn-2,COI,164816,146635,140826,141185,135662,135662,130685
COI-1121-5Sqm-Dn-3,COI,168685,150881,145786,146124,141105,141105,136393
COI-1121-5Sqm-Up-2,COI,177551,153813,146589,147394,138992,138992,135399
COI-0921-4Pad-Up11-1-TR2,COI,170617,143581,143137,143096,142322,142322,142279
COI-0921-4Pad-Up11-1-TR3,COI,174179,147117,146517,146383,145205,145205,145090
COI-1021-3Chk-Up-2-TR2,COI,48062,39862,35976,36181,32930,32930,32581
COI-1021-3Chk-Up-2-TR3,COI,231807,202565,196003,196998,187637,187637,183410
COI-Kangaroo,COI,135640,104992,104889,104937,103479,103479,96861
